GID,short_description
gid://shopify/Product/15448928584004,"[""Verbetert de bodemstructuur en bodemvruchtbaarheid"", ""NPK 2-2-3, rijk aan magnesium, calcium, humuszuren en fulvinezuren"", ""Extra toegevoegde mineralen en spoorelementen uit lavameel"", ""Geproduceerd uit 100% zuiver koemest"", ""Vrijwel geurloos door hygiënisatie en 100% vrij van onkruidzaden"", ""Pathogeenvrij; geen ziektekiemen, ongewenste schimmels of bacteriën"", ""Constante voedingsstroom door slow-release korrel > 120 dagen"", ""Minimale uitspoeling van minerale elementen door hoog organisch gehalte aan gebonden stikstof"", ""Geen bladverbranding door zeer laag ammoniakgehalte"", ""Bevat belangrijke voedingsstoffen en ca 60% organische stof"", ""Goed oplosbare en stofvrije korrel met uitstekend strooibeeld"", ""Toepasbaar in elk jaargetijde, behalve bij vorst in de grond"", ""Perfecte allround aanlegmeststof en bodemactivator""]"
gid://shopify/Product/15448928616772,"[""Verbetert de bodemstructuur en bodemvruchtbaarheid"", ""NPK 2-2-3, rijk aan magnesium, calcium, humuszuren en fulvinezuren"", ""Extra toegevoegde mineralen en spoorelementen uit lavameel"", ""Geproduceerd uit 100% zuiver koemest"", ""Vrijwel geurloos door hygiënisatie en 100% vrij van onkruidzaden"", ""Pathogeenvrij; geen ziektekiemen, ongewenste schimmels of bacteriën"", ""Constante voedingsstroom door slow-release korrel > 120 dagen"", ""Minimale uitspoeling van minerale elementen door hoog organisch gehalte aan gebonden stikstof"", ""Geen bladverbranding door zeer laag ammoniakgehalte"", ""Bevat belangrijke voedingsstoffen en ca 60% organische stof"", ""Goed oplosbare en stofvrije korrel met uitstekend strooibeeld"", ""Toepasbaar in elk jaargetijde, behalve bij vorst in de grond"", ""Perfecte allround aanlegmeststof en bodemactivator""]"
gid://shopify/Product/15448928649540,"[""Verbetert de bodemstructuur en bodemvruchtbaarheid"", ""NPK 2-2-3, rijk aan magnesium, calcium, humuszuren en fulvinezuren"", ""Extra toegevoegde mineralen en spoorelementen uit lavameel"", ""Geproduceerd uit 100% zuiver koemest"", ""Vrijwel geurloos door hygiënisatie en 100% vrij van onkruidzaden"", ""Pathogeenvrij; geen ziektekiemen, ongewenste schimmels of bacteriën"", ""Constante voedingsstroom door slow-release korrel > 120 dagen"", ""Minimale uitspoeling van minerale elementen door hoog organisch gehalte aan gebonden stikstof"", ""Geen bladverbranding door zeer laag ammoniakgehalte"", ""Bevat belangrijke voedingsstoffen en ca 60% organische stof"", ""Goed oplosbare en stofvrije korrel met uitstekend strooibeeld"", ""Toepasbaar in elk jaargetijde, behalve bij vorst in de grond"", ""Perfecte allround aanlegmeststof en bodemactivator""]"
gid://shopify/Product/15448928682308,"[""Verbetert de bodemstructuur en bodemvruchtbaarheid"", ""NPK 2-2-3, rijk aan magnesium, calcium, humuszuren en fulvinezuren"", ""Extra toegevoegde mineralen en spoorelementen uit lavameel"", ""Geproduceerd uit 100% zuiver koemest"", ""Vrijwel geurloos door hygiënisatie en 100% vrij van onkruidzaden"", ""Pathogeenvrij; geen ziektekiemen, ongewenste schimmels of bacteriën"", ""Constante voedingsstroom door slow-release korrel > 120 dagen"", ""Minimale uitspoeling van minerale elementen door hoog organisch gehalte aan gebonden stikstof"", ""Geen bladverbranding door zeer laag ammoniakgehalte"", ""Bevat belangrijke voedingsstoffen en ca 60% organische stof"", ""Goed oplosbare en stofvrije korrel met uitstekend strooibeeld"", ""Toepasbaar in elk jaargetijde, behalve bij vorst in de grond"", ""Perfecte allround aanlegmeststof en bodemactivator""]"
gid://shopify/Product/15448937169220,"[""Verbetert de bodemstructuur en bodemvruchtbaarheid"", ""NPK 2-2-3, rijk aan magnesium, calcium, humuszuren en fulvinezuren"", ""Extra toegevoegde mineralen en spoorelementen uit lavameel"", ""Geproduceerd uit 100% zuiver koemest"", ""Vrijwel geurloos door hygiënisatie en 100% vrij van onkruidzaden"", ""Pathogeenvrij; geen ziektekiemen, ongewenste schimmels of bacteriën"", ""Constante voedingsstroom door slow-release korrel > 120 dagen"", ""Minimale uitspoeling van minerale elementen door hoog organisch gehalte aan gebonden stikstof"", ""Geen bladverbranding door zeer laag ammoniakgehalte"", ""Bevat belangrijke voedingsstoffen en ca 60% organische stof"", ""Goed oplosbare en stofvrije korrel met uitstekend strooibeeld"", ""Toepasbaar in elk jaargetijde, behalve bij vorst in de grond"", ""Perfecte allround aanlegmeststof en bodemactivator""]"
gid://shopify/Product/15448937234756,"[""Verbetert de bodemstructuur en bodemvruchtbaarheid"", ""NPK 2-2-3, rijk aan magnesium, calcium, humuszuren en fulvinezuren"", ""Extra toegevoegde mineralen en spoorelementen uit lavameel"", ""Geproduceerd uit 100% zuiver koemest"", ""Vrijwel geurloos door hygiënisatie en 100% vrij van onkruidzaden"", ""Pathogeenvrij; geen ziektekiemen, ongewenste schimmels of bacteriën"", ""Constante voedingsstroom door slow-release korrel > 120 dagen"", ""Minimale uitspoeling van minerale elementen door hoog organisch gehalte aan gebonden stikstof"", ""Geen bladverbranding door zeer laag ammoniakgehalte"", ""Bevat belangrijke voedingsstoffen en ca 60% organische stof"", ""Goed oplosbare en stofvrije korrel met uitstekend strooibeeld"", ""Toepasbaar in elk jaargetijde, behalve bij vorst in de grond"", ""Perfecte allround aanlegmeststof en bodemactivator""]"
gid://shopify/Product/15448937300292,"[""Samengestelde organisch-minerale meststof NPK (Mg) 9-2-7 (+3)"", ""Meststof geschikt voor paardenweiden"", ""Ook zeer geschikt voor schapen, geiten en hobbyvee weiden"", ""Resulteert in hoogwaardig en smakelijk gras/ruwvoer"", ""Voor een gezond en structuurrijk gewas"", ""Verbetert de bodemstructuur en fungeert als bodemactivator"", ""Constante groei door slow-release microgranulaat met een werkingsduur van meer dan 120 dagen"", ""Maakt gras beter bestand tegen droogte, ziektes en belasting"", ""De meststof trekt snel in de bodem, waardoor opname door dieren wordt verhinderd"", ""Toepasbaar in elk jaargetijde, behalve bij vorst in de grond"", ""Extra toegevoegde mineralen en spoorelementen uit lavameel"", ""Perfecte all-in-one meststof voor weiden""]"
gid://shopify/Product/15448937333060,"[""Samengestelde organisch-minerale meststof NPK (Mg) 6-2-12 (+2)"", ""Sterk gras in de winter, mooi resultaat zichtbaar tot in het voorjaar"", ""Resulteert in een sterke, donkergroene grasmat"", ""Verhoogt de weerbaarheid bij droogte, vorst, ziekten en plagen"", ""Verbetert de bodemstructuur en stimuleert positief bodemleven"", ""Constante voedingsstroom door slow-release korrel > 100 dagen"", ""Universeel inzetbaar – beïnvloedt de zuurgraad van bodem niet"", ""Uitstekend strooibeeld door stofvrije microkorrels"", ""Belemmert ongewenste mos- en onkruidgroei"", ""Najaarsmest All-In-One is voorzien van plantversterkers""]"
gid://shopify/Product/15448938643780,"[""Verbetert de bodemstructuur en bodemvruchtbaarheid"", ""NPK 2-2-3, rijk aan magnesium, calcium, humuszuren en fulvinezuren"", ""Extra toegevoegde mineralen en spoorelementen uit lavameel"", ""Geproduceerd uit 100% zuiver koemest"", ""Vrijwel geurloos door hygiënisatie en 100% vrij van onkruidzaden"", ""Pathogeenvrij; geen ziektekiemen, ongewenste schimmels of bacteriën"", ""Constante voedingsstroom door slow-release korrel > 120 dagen"", ""Minimale uitspoeling van minerale elementen door hoog organisch gehalte aan gebonden stikstof"", ""Geen bladverbranding door zeer laag ammoniakgehalte"", ""Bevat belangrijke voedingsstoffen en ca 60% organische stof"", ""Goed oplosbare en stofvrije korrel met uitstekend strooibeeld"", ""Toepasbaar in elk jaargetijde, behalve bij vorst in de grond"", ""Perfecte allround aanlegmeststof en bodemactivator""]"
gid://shopify/Product/15448939725124,"[""Verbetert de bodemstructuur en bodemvruchtbaarheid"", ""NPK 2-2-3, rijk aan magnesium, calcium, humuszuren en fulvinezuren"", ""Extra toegevoegde mineralen en spoorelementen uit lavameel"", ""Geproduceerd uit 100% zuiver koemest"", ""Vrijwel geurloos door hygiënisatie en 100% vrij van onkruidzaden"", ""Pathogeenvrij; geen ziektekiemen, ongewenste schimmels of bacteriën"", ""Constante voedingsstroom door slow-release korrel > 120 dagen"", ""Minimale uitspoeling van minerale elementen door hoog organisch gehalte aan gebonden stikstof"", ""Geen bladverbranding door zeer laag ammoniakgehalte"", ""Bevat belangrijke voedingsstoffen en ca 60% organische stof"", ""Goed oplosbare en stofvrije korrel met uitstekend strooibeeld"", ""Toepasbaar in elk jaargetijde, behalve bij vorst in de grond"", ""Perfecte allround aanlegmeststof en bodemactivator""]"
