GID,short_description
gid://shopify/Product/15448928584004,"[""Improves soil structure and fertility"", ""NPK 2-2-3, rich in magnesium, calcium, humic acids and fulvic acids"", ""Additional minerals and trace elements from lava meal"", ""Produced from 100% pure cow manure"", ""Virtually odourless due to sanitisation and 100% free from weed seeds"", ""Pathogen-free; no germs, unwanted fungi or bacteria"", ""Constant nutrient release through slow-release granules > 120 days"", ""Minimal leaching of mineral elements due to high organic content of bound nitrogen"", ""No leaf scorching due to very low ammonia content"", ""Contains important nutrients and approximately 60% organic matter"", ""Easily soluble and dust-free granules with excellent spreading pattern"", ""Applicable in all seasons, except when there's frost in the ground"", ""Perfect all-round fertiliser for landscaping and soil activator""]"
gid://shopify/Product/15448928616772,"[""Improves soil structure and fertility"", ""NPK 2-2-3, rich in magnesium, calcium, humic acids and fulvic acids"", ""Additional minerals and trace elements from lava meal"", ""Produced from 100% pure cow manure"", ""Virtually odourless due to sanitisation and 100% free from weed seeds"", ""Pathogen-free; no germs, unwanted fungi or bacteria"", ""Constant nutrient release through slow-release granules > 120 days"", ""Minimal leaching of mineral elements due to high organic content of bound nitrogen"", ""No leaf scorching due to very low ammonia content"", ""Contains important nutrients and approximately 60% organic matter"", ""Easily soluble and dust-free granules with excellent spreading pattern"", ""Applicable in all seasons, except when there's frost in the ground"", ""Perfect all-round fertiliser for landscaping and soil activator""]"
gid://shopify/Product/15448928649540,"[""Improves soil structure and fertility"", ""NPK 2-2-3, rich in magnesium, calcium, humic acids and fulvic acids"", ""Additional minerals and trace elements from lava meal"", ""Produced from 100% pure cow manure"", ""Virtually odourless due to sanitisation and 100% free from weed seeds"", ""Pathogen-free; no germs, unwanted fungi or bacteria"", ""Constant nutrient release through slow-release granules > 120 days"", ""Minimal leaching of mineral elements due to high organic content of bound nitrogen"", ""No leaf scorching due to very low ammonia content"", ""Contains important nutrients and approximately 60% organic matter"", ""Easily soluble and dust-free granules with excellent spreading pattern"", ""Applicable in all seasons, except when there's frost in the ground"", ""Perfect all-round fertiliser for landscaping and soil activator""]"
gid://shopify/Product/15448928682308,"[""Improves soil structure and fertility"", ""NPK 2-2-3, rich in magnesium, calcium, humic acids and fulvic acids"", ""Additional minerals and trace elements from lava meal"", ""Produced from 100% pure cow manure"", ""Virtually odourless due to sanitisation and 100% free from weed seeds"", ""Pathogen-free; no germs, unwanted fungi or bacteria"", ""Constant nutrient release through slow-release granules > 120 days"", ""Minimal leaching of mineral elements due to high organic content of bound nitrogen"", ""No leaf scorching due to very low ammonia content"", ""Contains important nutrients and approximately 60% organic matter"", ""Easily soluble and dust-free granules with excellent spreading pattern"", ""Applicable in all seasons, except when there's frost in the ground"", ""Perfect all-round fertiliser for landscaping and soil activator""]"
gid://shopify/Product/15448937169220,"[""Improves soil structure and fertility"", ""NPK 2-2-3, rich in magnesium, calcium, humic acids and fulvic acids"", ""Additional minerals and trace elements from lava meal"", ""Produced from 100% pure cow manure"", ""Virtually odourless due to sanitisation and 100% free from weed seeds"", ""Pathogen-free; no germs, unwanted fungi or bacteria"", ""Constant nutrient release through slow-release granules > 120 days"", ""Minimal leaching of mineral elements due to high organic content of bound nitrogen"", ""No leaf scorching due to very low ammonia content"", ""Contains important nutrients and approximately 60% organic matter"", ""Easily soluble and dust-free granules with excellent spreading pattern"", ""Applicable in all seasons, except when there's frost in the ground"", ""Perfect all-round fertiliser for landscaping and soil activator""]"
gid://shopify/Product/15448937234756,"[""Improves soil structure and fertility"", ""NPK 2-2-3, rich in magnesium, calcium, humic acids and fulvic acids"", ""Additional minerals and trace elements from lava meal"", ""Produced from 100% pure cow manure"", ""Virtually odourless due to sanitisation and 100% free from weed seeds"", ""Pathogen-free; no germs, unwanted fungi or bacteria"", ""Constant nutrient release through slow-release granules > 120 days"", ""Minimal leaching of mineral elements due to high organic content of bound nitrogen"", ""No leaf scorching due to very low ammonia content"", ""Contains important nutrients and approximately 60% organic matter"", ""Easily soluble and dust-free granules with excellent spreading pattern"", ""Applicable in all seasons, except when there's frost in the ground"", ""Perfect all-round fertiliser for landscaping and soil activator""]"
gid://shopify/Product/15448937300292,"[""Compound organo-mineral fertiliser NPK (Mg) 9-2-7 (+3)"", ""Fertiliser suitable for horse pastures"", ""Also highly suitable for sheep, goats, and hobby livestock pastures"", ""Produces high-quality and palatable grass/roughage"", ""For a healthy and fibre-rich crop"", ""Improves soil structure and acts as a soil activator"", ""Consistent growth thanks to slow-release microgranulate with an active duration of over 120 days"", ""Makes grass more resistant to drought, diseases, and wear"", ""The fertiliser quickly penetrates the soil, preventing uptake by animals"", ""Usable in any season, except during ground frost"", ""Enriched with additional minerals and trace elements from lava meal"", ""Perfect all-in-one fertiliser for pastures""]"
gid://shopify/Product/15448937333060,"[""Compound organic-mineral fertiliser NPK (Mg) 6-2-12 (+2)"", ""Strong grass during winter, beautiful results visible until spring"", ""Results in a strong, dark green lawn"", ""Enhances resilience against drought, frost, diseases, and pests"", ""Improves soil structure and stimulates positive soil life"", ""Continuous nutrient supply through slow-release granules > 100 days"", ""Universally applicable – does not affect soil pH"", ""Excellent spreading pattern with dust-free microgranules"", ""Suppresses unwanted moss and weed growth"", ""Autumn Fertiliser All-In-One is enriched with plant strengtheners""]"
gid://shopify/Product/15448938643780,"[""Improves soil structure and fertility"", ""NPK 2-2-3, rich in magnesium, calcium, humic acids and fulvic acids"", ""Additional minerals and trace elements from lava meal"", ""Produced from 100% pure cow manure"", ""Virtually odourless due to sanitisation and 100% free from weed seeds"", ""Pathogen-free; no germs, unwanted fungi or bacteria"", ""Constant nutrient release through slow-release granules > 120 days"", ""Minimal leaching of mineral elements due to high organic content of bound nitrogen"", ""No leaf scorching due to very low ammonia content"", ""Contains important nutrients and approximately 60% organic matter"", ""Easily soluble and dust-free granules with excellent spreading pattern"", ""Applicable in all seasons, except when there's frost in the ground"", ""Perfect all-round fertiliser for landscaping and soil activator""]"
gid://shopify/Product/15448939725124,"[""Improves soil structure and fertility"", ""NPK 2-2-3, rich in magnesium, calcium, humic acids and fulvic acids"", ""Additional minerals and trace elements from lava meal"", ""Produced from 100% pure cow manure"", ""Virtually odourless due to sanitisation and 100% free from weed seeds"", ""Pathogen-free; no germs, unwanted fungi or bacteria"", ""Constant nutrient release through slow-release granules > 120 days"", ""Minimal leaching of mineral elements due to high organic content of bound nitrogen"", ""No leaf scorching due to very low ammonia content"", ""Contains important nutrients and approximately 60% organic matter"", ""Easily soluble and dust-free granules with excellent spreading pattern"", ""Applicable in all seasons, except when there's frost in the ground"", ""Perfect all-round fertiliser for landscaping and soil activator""]"
