GID,short_description
gid://shopify/Product/15448928584004,"[""Βελτιώνει τη δομή και τη γονιμότητα του εδάφους"", ""NPK 2-2-3, πλούσιο σε μαγνήσιο, ασβέστιο, χουμικά και φουλβικά οξέα"", ""Πρόσθετα μέταλλα και ιχνοστοιχεία από λάβα"", ""Φτιαγμένο από 100% καθαρή κοπριά αγελάδας"", ""Σχεδόν άοσμο λόγω υγειονοποίησης και 100% απαλλαγμένο από σπόρους ζιζανίων"", ""Χωρίς παθογόνους οργανισμούς, ανεπιθύμητους μύκητες ή βακτήρια"", ""Σταθερή επίδραση λίπανσης μέσω σφαιριδίων αργής αποδέσμευσης > 120 ημέρες"", ""Ελάχιστη έκπλυση στοιχείων λόγω υψηλής οργανικής περιεκτικότητας δεσμευμένου αζώτου"", ""Δεν προκαλεί καύση των φύλλων λόγω πολύ χαμηλής περιεκτικότητας σε αμμωνία"", ""Περιέχει σημαντικά θρεπτικά συστατικά και περίπου 60% οργανική ύλη"", ""Καλά διαλυτά και χωρίς σκόνη σφαιρίδια με εξαιρετικό μοτίβο διασποράς"", ""Χρησιμοποιήσιμο σε όλες τις εποχές, εκτός από περιπτώσεις παγετού στο έδαφος"", ""Ιδανικό πλήρες λίπασμα φυτών και ενεργοποιητής εδάφους""]"
gid://shopify/Product/15448928616772,"[""Βελτιώνει τη δομή και τη γονιμότητα του εδάφους"", ""NPK 2-2-3, πλούσιο σε μαγνήσιο, ασβέστιο, χουμικά και φουλβικά οξέα"", ""Πρόσθετα μέταλλα και ιχνοστοιχεία από λάβα"", ""Φτιαγμένο από 100% καθαρή κοπριά αγελάδας"", ""Σχεδόν άοσμο λόγω υγειονοποίησης και 100% απαλλαγμένο από σπόρους ζιζανίων"", ""Χωρίς παθογόνους οργανισμούς, ανεπιθύμητους μύκητες ή βακτήρια"", ""Σταθερή επίδραση λίπανσης μέσω σφαιριδίων αργής αποδέσμευσης > 120 ημέρες"", ""Ελάχιστη έκπλυση στοιχείων λόγω υψηλής οργανικής περιεκτικότητας δεσμευμένου αζώτου"", ""Δεν προκαλεί καύση των φύλλων λόγω πολύ χαμηλής περιεκτικότητας σε αμμωνία"", ""Περιέχει σημαντικά θρεπτικά συστατικά και περίπου 60% οργανική ύλη"", ""Καλά διαλυτά και χωρίς σκόνη σφαιρίδια με εξαιρετικό μοτίβο διασποράς"", ""Χρησιμοποιήσιμο σε όλες τις εποχές, εκτός από περιπτώσεις παγετού στο έδαφος"", ""Ιδανικό πλήρες λίπασμα φυτών και ενεργοποιητής εδάφους""]"
gid://shopify/Product/15448928649540,"[""Βελτιώνει τη δομή και τη γονιμότητα του εδάφους"", ""NPK 2-2-3, πλούσιο σε μαγνήσιο, ασβέστιο, χουμικά και φουλβικά οξέα"", ""Πρόσθετα μέταλλα και ιχνοστοιχεία από λάβα"", ""Φτιαγμένο από 100% καθαρή κοπριά αγελάδας"", ""Σχεδόν άοσμο λόγω υγειονοποίησης και 100% απαλλαγμένο από σπόρους ζιζανίων"", ""Χωρίς παθογόνους οργανισμούς, ανεπιθύμητους μύκητες ή βακτήρια"", ""Σταθερή επίδραση λίπανσης μέσω σφαιριδίων αργής αποδέσμευσης > 120 ημέρες"", ""Ελάχιστη έκπλυση στοιχείων λόγω υψηλής οργανικής περιεκτικότητας δεσμευμένου αζώτου"", ""Δεν προκαλεί καύση των φύλλων λόγω πολύ χαμηλής περιεκτικότητας σε αμμωνία"", ""Περιέχει σημαντικά θρεπτικά συστατικά και περίπου 60% οργανική ύλη"", ""Καλά διαλυτά και χωρίς σκόνη σφαιρίδια με εξαιρετικό μοτίβο διασποράς"", ""Χρησιμοποιήσιμο σε όλες τις εποχές, εκτός από περιπτώσεις παγετού στο έδαφος"", ""Ιδανικό πλήρες λίπασμα φυτών και ενεργοποιητής εδάφους""]"
gid://shopify/Product/15448928682308,"[""Βελτιώνει τη δομή και τη γονιμότητα του εδάφους"", ""NPK 2-2-3, πλούσιο σε μαγνήσιο, ασβέστιο, χουμικά και φουλβικά οξέα"", ""Πρόσθετα μέταλλα και ιχνοστοιχεία από λάβα"", ""Φτιαγμένο από 100% καθαρή κοπριά αγελάδας"", ""Σχεδόν άοσμο λόγω υγειονοποίησης και 100% απαλλαγμένο από σπόρους ζιζανίων"", ""Χωρίς παθογόνους οργανισμούς, ανεπιθύμητους μύκητες ή βακτήρια"", ""Σταθερή επίδραση λίπανσης μέσω σφαιριδίων αργής αποδέσμευσης > 120 ημέρες"", ""Ελάχιστη έκπλυση στοιχείων λόγω υψηλής οργανικής περιεκτικότητας δεσμευμένου αζώτου"", ""Δεν προκαλεί καύση των φύλλων λόγω πολύ χαμηλής περιεκτικότητας σε αμμωνία"", ""Περιέχει σημαντικά θρεπτικά συστατικά και περίπου 60% οργανική ύλη"", ""Καλά διαλυτά και χωρίς σκόνη σφαιρίδια με εξαιρετικό μοτίβο διασποράς"", ""Χρησιμοποιήσιμο σε όλες τις εποχές, εκτός από περιπτώσεις παγετού στο έδαφος"", ""Ιδανικό πλήρες λίπασμα φυτών και ενεργοποιητής εδάφους""]"
gid://shopify/Product/15448937169220,"[""Βελτιώνει τη δομή και τη γονιμότητα του εδάφους"", ""NPK 2-2-3, πλούσιο σε μαγνήσιο, ασβέστιο, χουμικά και φουλβικά οξέα"", ""Πρόσθετα μέταλλα και ιχνοστοιχεία από λάβα"", ""Φτιαγμένο από 100% καθαρή κοπριά αγελάδας"", ""Σχεδόν άοσμο λόγω υγειονοποίησης και 100% απαλλαγμένο από σπόρους ζιζανίων"", ""Χωρίς παθογόνους οργανισμούς, ανεπιθύμητους μύκητες ή βακτήρια"", ""Σταθερή επίδραση λίπανσης μέσω σφαιριδίων αργής αποδέσμευσης > 120 ημέρες"", ""Ελάχιστη έκπλυση στοιχείων λόγω υψηλής οργανικής περιεκτικότητας δεσμευμένου αζώτου"", ""Δεν προκαλεί καύση των φύλλων λόγω πολύ χαμηλής περιεκτικότητας σε αμμωνία"", ""Περιέχει σημαντικά θρεπτικά συστατικά και περίπου 60% οργανική ύλη"", ""Καλά διαλυτά και χωρίς σκόνη σφαιρίδια με εξαιρετικό μοτίβο διασποράς"", ""Χρησιμοποιήσιμο σε όλες τις εποχές, εκτός από περιπτώσεις παγετού στο έδαφος"", ""Ιδανικό πλήρες λίπασμα φυτών και ενεργοποιητής εδάφους""]"
gid://shopify/Product/15448937234756,"[""Βελτιώνει τη δομή και τη γονιμότητα του εδάφους"", ""NPK 2-2-3, πλούσιο σε μαγνήσιο, ασβέστιο, χουμικά και φουλβικά οξέα"", ""Πρόσθετα μέταλλα και ιχνοστοιχεία από λάβα"", ""Φτιαγμένο από 100% καθαρή κοπριά αγελάδας"", ""Σχεδόν άοσμο λόγω υγειονοποίησης και 100% απαλλαγμένο από σπόρους ζιζανίων"", ""Χωρίς παθογόνους οργανισμούς, ανεπιθύμητους μύκητες ή βακτήρια"", ""Σταθερή επίδραση λίπανσης μέσω σφαιριδίων αργής αποδέσμευσης > 120 ημέρες"", ""Ελάχιστη έκπλυση στοιχείων λόγω υψηλής οργανικής περιεκτικότητας δεσμευμένου αζώτου"", ""Δεν προκαλεί καύση των φύλλων λόγω πολύ χαμηλής περιεκτικότητας σε αμμωνία"", ""Περιέχει σημαντικά θρεπτικά συστατικά και περίπου 60% οργανική ύλη"", ""Καλά διαλυτά και χωρίς σκόνη σφαιρίδια με εξαιρετικό μοτίβο διασποράς"", ""Χρησιμοποιήσιμο σε όλες τις εποχές, εκτός από περιπτώσεις παγετού στο έδαφος"", ""Ιδανικό πλήρες λίπασμα φυτών και ενεργοποιητής εδάφους""]"
gid://shopify/Product/15448937300292,"[""Σύνθετο οργανικό-ανόργανο λίπασμα NPK 9-2-7"", ""Λίπασμα κατάλληλο για βοσκοτόπια αλόγων"", ""Εξαιρετικά κατάλληλο και για βοσκοτόπια προβάτων, αιγών και ζώων χόμπι"", ""Παράγει υψηλής ποιότητας και εύγευστο γρασίδι/τροφή"", ""Προάγει υγιή και δομημένη σοδειά"", ""Βελτιώνει τη δομή του εδάφους και δρα ως ενεργοποιητής εδάφους"", ""Συνεχής ανάπτυξη μέσω μικροκόκκων αργής αποδέσμευσης με διάρκεια πάνω από 120 ημέρες"", ""Κάνει το γρασίδι πιο ανθεκτικό στην ξηρασία, τις ασθένειες και το στρες"", ""Το λίπασμα διεισδύει γρήγορα στο έδαφος, αποτρέποντας την κατανάλωση από τα ζώα"", ""Εφαρμόσιμο σε οποιαδήποτε εποχή, εκτός από περιόδους παγετού"", ""Πρόσθετα ανόργανα συστατικά και ιχνοστοιχεία από ηφαιστειακή τέφρα"", ""Ιδανικό λίπασμα για βοσκοτόπια""]"
gid://shopify/Product/15448937333060,"[""Σύνθετο οργανικό-ανόργανο λίπασμα NPK (Mg) 6-2-12 (+2)"", ""Ισχυρό γρασίδι τον χειμώνα, με όμορφα αποτελέσματα ορατά μέχρι την άνοιξη"", ""Προκαλεί έναν ισχυρό, σκούρο πράσινο χλοοτάπητα"", ""Αυξάνει την ανθεκτικότητα απέναντι στην ξηρασία, τον παγετό, τις ασθένειες και τα παράσιτα"", ""Βελτιώνει τη δομή του εδάφους και προάγει τη θετική ζωή του εδάφους"", ""Συνεχής παροχή θρεπτικών ουσιών μέσω κοκκίων αργής αποδέσμευσης > 100 ημερών"", ""Καθολικά εφαρμόσιμο – δεν επηρεάζει το pH του εδάφους"", ""Εξαιρετική κατανομή με μικροκοκκία χωρίς σκόνη"", ""Καταστέλλει την ανεπιθύμητη ανάπτυξη βρύων και ζιζανίων"", ""Το Φθινοπωρινό Λίπασμα All-In-One είναι εμπλουτισμένο με ενισχυτικά φυτών""]"
gid://shopify/Product/15448938643780,"[""Βελτιώνει τη δομή και τη γονιμότητα του εδάφους"", ""NPK 2-2-3, πλούσιο σε μαγνήσιο, ασβέστιο, χουμικά και φουλβικά οξέα"", ""Πρόσθετα μέταλλα και ιχνοστοιχεία από λάβα"", ""Φτιαγμένο από 100% καθαρή κοπριά αγελάδας"", ""Σχεδόν άοσμο λόγω υγειονοποίησης και 100% απαλλαγμένο από σπόρους ζιζανίων"", ""Χωρίς παθογόνους οργανισμούς, ανεπιθύμητους μύκητες ή βακτήρια"", ""Σταθερή επίδραση λίπανσης μέσω σφαιριδίων αργής αποδέσμευσης > 120 ημέρες"", ""Ελάχιστη έκπλυση στοιχείων λόγω υψηλής οργανικής περιεκτικότητας δεσμευμένου αζώτου"", ""Δεν προκαλεί καύση των φύλλων λόγω πολύ χαμηλής περιεκτικότητας σε αμμωνία"", ""Περιέχει σημαντικά θρεπτικά συστατικά και περίπου 60% οργανική ύλη"", ""Καλά διαλυτά και χωρίς σκόνη σφαιρίδια με εξαιρετικό μοτίβο διασποράς"", ""Χρησιμοποιήσιμο σε όλες τις εποχές, εκτός από περιπτώσεις παγετού στο έδαφος"", ""Ιδανικό πλήρες λίπασμα φυτών και ενεργοποιητής εδάφους""]"
gid://shopify/Product/15448939725124,"[""Βελτιώνει τη δομή και τη γονιμότητα του εδάφους"", ""NPK 2-2-3, πλούσιο σε μαγνήσιο, ασβέστιο, χουμικά και φουλβικά οξέα"", ""Πρόσθετα μέταλλα και ιχνοστοιχεία από λάβα"", ""Φτιαγμένο από 100% καθαρή κοπριά αγελάδας"", ""Σχεδόν άοσμο λόγω υγειονοποίησης και 100% απαλλαγμένο από σπόρους ζιζανίων"", ""Χωρίς παθογόνους οργανισμούς, ανεπιθύμητους μύκητες ή βακτήρια"", ""Σταθερή επίδραση λίπανσης μέσω σφαιριδίων αργής αποδέσμευσης > 120 ημέρες"", ""Ελάχιστη έκπλυση στοιχείων λόγω υψηλής οργανικής περιεκτικότητας δεσμευμένου αζώτου"", ""Δεν προκαλεί καύση των φύλλων λόγω πολύ χαμηλής περιεκτικότητας σε αμμωνία"", ""Περιέχει σημαντικά θρεπτικά συστατικά και περίπου 60% οργανική ύλη"", ""Καλά διαλυτά και χωρίς σκόνη σφαιρίδια με εξαιρετικό μοτίβο διασποράς"", ""Χρησιμοποιήσιμο σε όλες τις εποχές, εκτός από περιπτώσεις παγετού στο έδαφος"", ""Ιδανικό πλήρες λίπασμα φυτών και ενεργοποιητής εδάφους""]"
