GID,short_description
gid://shopify/Product/15448928584004,"[""Mejora la estructura y fertilidad del suelo"", ""NPK 2-2-3, rico en magnesio, calcio, ácidos húmicos y fúlvicos"", ""Minerales adicionales y elementos traza añadidos de la harina de lava"", ""Hecho de estiércol de vaca 100% puro"", ""Casi inodoro debido a la higienización y 100% libre de semillas de malas hierbas"", ""Libre de patógenos; sin patógenos, mohos no deseados o bacterias"", ""Efecto fertilizante constante a través de pellets de liberación lenta > 120 días"", ""Lixiviación mínima de elementos minerales debido al alto contenido orgánico de nitrógeno ligado"", ""Sin quemaduras en las hojas debido al muy bajo contenido de amoníaco"", ""Contiene nutrientes importantes y aproximadamente 60% de materia orgánica"", ""Pellets bien solubles y sin polvo con excelente patrón de esparcimiento"", ""Utilizable en todas las estaciones, excepto en caso de heladas en el suelo"", ""Fertilizante vegetal y activador del suelo todo en uno perfecto""]"
gid://shopify/Product/15448928616772,"[""Mejora la estructura y fertilidad del suelo"", ""NPK 2-2-3, rico en magnesio, calcio, ácidos húmicos y fúlvicos"", ""Minerales adicionales y elementos traza añadidos de la harina de lava"", ""Hecho de estiércol de vaca 100% puro"", ""Casi inodoro debido a la higienización y 100% libre de semillas de malas hierbas"", ""Libre de patógenos; sin patógenos, mohos no deseados o bacterias"", ""Efecto fertilizante constante a través de pellets de liberación lenta > 120 días"", ""Lixiviación mínima de elementos minerales debido al alto contenido orgánico de nitrógeno ligado"", ""Sin quemaduras en las hojas debido al muy bajo contenido de amoníaco"", ""Contiene nutrientes importantes y aproximadamente 60% de materia orgánica"", ""Pellets bien solubles y sin polvo con excelente patrón de esparcimiento"", ""Utilizable en todas las estaciones, excepto en caso de heladas en el suelo"", ""Fertilizante vegetal y activador del suelo todo en uno perfecto""]"
gid://shopify/Product/15448928649540,"[""Mejora la estructura y fertilidad del suelo"", ""NPK 2-2-3, rico en magnesio, calcio, ácidos húmicos y fúlvicos"", ""Minerales adicionales y elementos traza añadidos de la harina de lava"", ""Hecho de estiércol de vaca 100% puro"", ""Casi inodoro debido a la higienización y 100% libre de semillas de malas hierbas"", ""Libre de patógenos; sin patógenos, mohos no deseados o bacterias"", ""Efecto fertilizante constante a través de pellets de liberación lenta > 120 días"", ""Lixiviación mínima de elementos minerales debido al alto contenido orgánico de nitrógeno ligado"", ""Sin quemaduras en las hojas debido al muy bajo contenido de amoníaco"", ""Contiene nutrientes importantes y aproximadamente 60% de materia orgánica"", ""Pellets bien solubles y sin polvo con excelente patrón de esparcimiento"", ""Utilizable en todas las estaciones, excepto en caso de heladas en el suelo"", ""Fertilizante vegetal y activador del suelo todo en uno perfecto""]"
gid://shopify/Product/15448928682308,"[""Mejora la estructura y fertilidad del suelo"", ""NPK 2-2-3, rico en magnesio, calcio, ácidos húmicos y fúlvicos"", ""Minerales adicionales y elementos traza añadidos de la harina de lava"", ""Hecho de estiércol de vaca 100% puro"", ""Casi inodoro debido a la higienización y 100% libre de semillas de malas hierbas"", ""Libre de patógenos; sin patógenos, mohos no deseados o bacterias"", ""Efecto fertilizante constante a través de pellets de liberación lenta > 120 días"", ""Lixiviación mínima de elementos minerales debido al alto contenido orgánico de nitrógeno ligado"", ""Sin quemaduras en las hojas debido al muy bajo contenido de amoníaco"", ""Contiene nutrientes importantes y aproximadamente 60% de materia orgánica"", ""Pellets bien solubles y sin polvo con excelente patrón de esparcimiento"", ""Utilizable en todas las estaciones, excepto en caso de heladas en el suelo"", ""Fertilizante vegetal y activador del suelo todo en uno perfecto""]"
gid://shopify/Product/15448937169220,"[""Mejora la estructura y fertilidad del suelo"", ""NPK 2-2-3, rico en magnesio, calcio, ácidos húmicos y fúlvicos"", ""Minerales adicionales y elementos traza añadidos de la harina de lava"", ""Hecho de estiércol de vaca 100% puro"", ""Casi inodoro debido a la higienización y 100% libre de semillas de malas hierbas"", ""Libre de patógenos; sin patógenos, mohos no deseados o bacterias"", ""Efecto fertilizante constante a través de pellets de liberación lenta > 120 días"", ""Lixiviación mínima de elementos minerales debido al alto contenido orgánico de nitrógeno ligado"", ""Sin quemaduras en las hojas debido al muy bajo contenido de amoníaco"", ""Contiene nutrientes importantes y aproximadamente 60% de materia orgánica"", ""Pellets bien solubles y sin polvo con excelente patrón de esparcimiento"", ""Utilizable en todas las estaciones, excepto en caso de heladas en el suelo"", ""Fertilizante vegetal y activador del suelo todo en uno perfecto""]"
gid://shopify/Product/15448937234756,"[""Mejora la estructura y fertilidad del suelo"", ""NPK 2-2-3, rico en magnesio, calcio, ácidos húmicos y fúlvicos"", ""Minerales adicionales y elementos traza añadidos de la harina de lava"", ""Hecho de estiércol de vaca 100% puro"", ""Casi inodoro debido a la higienización y 100% libre de semillas de malas hierbas"", ""Libre de patógenos; sin patógenos, mohos no deseados o bacterias"", ""Efecto fertilizante constante a través de pellets de liberación lenta > 120 días"", ""Lixiviación mínima de elementos minerales debido al alto contenido orgánico de nitrógeno ligado"", ""Sin quemaduras en las hojas debido al muy bajo contenido de amoníaco"", ""Contiene nutrientes importantes y aproximadamente 60% de materia orgánica"", ""Pellets bien solubles y sin polvo con excelente patrón de esparcimiento"", ""Utilizable en todas las estaciones, excepto en caso de heladas en el suelo"", ""Fertilizante vegetal y activador del suelo todo en uno perfecto""]"
gid://shopify/Product/15448937300292,"[""Fertilizante compuesto orgánico-mineral NPK 9-2-7"", ""Fertilizante adecuado para pastos de caballos"", ""También altamente adecuado para pastos de ovejas, cabras y animales de hobby"", ""Resulta en pasto/pienso de alta calidad y palatable"", ""Promueve una cosecha saludable y estructurada"", ""Mejora la estructura del suelo y actúa como activador del suelo"", ""Crecimiento constante a través de microgránulos de liberación lenta con una duración de más de 120 días"", ""Hace que el pasto sea más resistente a la sequía, enfermedades y estrés"", ""El fertilizante penetra rápidamente en el suelo, evitando el consumo por parte de los animales"", ""Aplicable en cualquier estación, excepto durante las heladas del suelo"", ""Minerales adicionales y elementos traza añadidos de ceniza volcánica"", ""Fertilizante todo en uno perfecto para pastos""]"
gid://shopify/Product/15448937333060,"[""Fertilizante orgánico-mineral compuesto NPK (Mg) 6-2-12 (+2)"", ""Césped fuerte en invierno, resultados hermosos visibles hasta primavera"", ""Resulta en un césped fuerte y verde oscuro"", ""Mejora la resistencia contra la sequía, las heladas, enfermedades y plagas"", ""Mejora la estructura del suelo y promueve una vida positiva en el suelo"", ""Suministro continuo de nutrientes mediante gránulos de liberación lenta > 100 días"", ""Universalmente aplicable – no afecta el pH del suelo"", ""Excelente patrón de dispersión con microgránulos sin polvo"", ""Suprime el crecimiento de musgo y malas hierbas no deseados"", ""El Fertilizante de Otoño Todo-en-Uno está enriquecido con fortificantes de plantas""]"
gid://shopify/Product/15448938643780,"[""Mejora la estructura y fertilidad del suelo"", ""NPK 2-2-3, rico en magnesio, calcio, ácidos húmicos y fúlvicos"", ""Minerales adicionales y elementos traza añadidos de la harina de lava"", ""Hecho de estiércol de vaca 100% puro"", ""Casi inodoro debido a la higienización y 100% libre de semillas de malas hierbas"", ""Libre de patógenos; sin patógenos, mohos no deseados o bacterias"", ""Efecto fertilizante constante a través de pellets de liberación lenta > 120 días"", ""Lixiviación mínima de elementos minerales debido al alto contenido orgánico de nitrógeno ligado"", ""Sin quemaduras en las hojas debido al muy bajo contenido de amoníaco"", ""Contiene nutrientes importantes y aproximadamente 60% de materia orgánica"", ""Pellets bien solubles y sin polvo con excelente patrón de esparcimiento"", ""Utilizable en todas las estaciones, excepto en caso de heladas en el suelo"", ""Fertilizante vegetal y activador del suelo todo en uno perfecto""]"
gid://shopify/Product/15448939725124,"[""Mejora la estructura y fertilidad del suelo"", ""NPK 2-2-3, rico en magnesio, calcio, ácidos húmicos y fúlvicos"", ""Minerales adicionales y elementos traza añadidos de la harina de lava"", ""Hecho de estiércol de vaca 100% puro"", ""Casi inodoro debido a la higienización y 100% libre de semillas de malas hierbas"", ""Libre de patógenos; sin patógenos, mohos no deseados o bacterias"", ""Efecto fertilizante constante a través de pellets de liberación lenta > 120 días"", ""Lixiviación mínima de elementos minerales debido al alto contenido orgánico de nitrógeno ligado"", ""Sin quemaduras en las hojas debido al muy bajo contenido de amoníaco"", ""Contiene nutrientes importantes y aproximadamente 60% de materia orgánica"", ""Pellets bien solubles y sin polvo con excelente patrón de esparcimiento"", ""Utilizable en todas las estaciones, excepto en caso de heladas en el suelo"", ""Fertilizante vegetal y activador del suelo todo en uno perfecto""]"
gid://shopify/Product/15448942346564,"[""Fertilizante multinutriente orgánico-mineral NPK (Mg) 9-2-7 (+3)"", ""Para un césped profundo, robusto y verde sin malezas ni musgo"", ""Rico en potasio para fortalecer el césped"", ""Libre de sulfato de hierro - no mancha"", ""Asegura un césped fuerte, saludable y denso"", ""Aumenta la resistencia contra la sequía, enfermedades y heladas"", ""Impide el crecimiento indeseado de musgo y malezas"", ""Prácticamente inodoro y libre de gérmenes debido a la desinfección"", ""Excelente dispersión gracias a la mezcla de microgranulado sin polvo"", ""Proporciona hasta 100 días de nutrición completa"", ""Enriquecido con magnesio para un color verde intenso del césped"", ""Mejora la estructura del suelo y actúa como activador del suelo"", ""Fertilizante Todo-en-Uno con cal y fortificantes para el césped""]"
gid://shopify/Product/15448942903620,"[""Fertilizante orgánico-mineral compuesto NPK (Mg) 8+4+5 (+2)"", ""Realza la belleza de las plantas, con colores más intensos y más flores"", ""Disfruta de frutas más abundantes y sabrosas"", ""Influye positivamente en la formación de frutas, tubérculos y bulbos"", ""Mejora la calidad en términos de sabor, color, fragancia y vida útil"", ""Mejora la estructura del suelo y estimula organismos beneficiosos del suelo"", ""Proporciona un suministro constante de nutrientes a través de gránulos de liberación lenta durante más de 100 días"", ""Aplicable universalmente - no afecta la acidez del suelo"", ""Excelentes características de dispersión con microgránulos sin polvo"", ""Mejora la resiliencia contra la sequía, las heladas, enfermedades y plagas"", ""Fertilizante Todo-en-Uno enriquecido con potenciadores de plantas"", ""Para resultados óptimos en jardines ornamentales y de vegetales""]"
gid://shopify/Product/15448947294532,"[""Fertilizante vegetal natural y puro NPK 6-3-2"", ""100% libre de productos animales como estiércol, harina de hueso o harina de sangre"", ""Mejora la estructura del suelo y actúa como activador del suelo"", ""Aroma agradable y adecuado para uso interior y exterior"", ""100% orgánico, libre de GMO, puramente vegetal y respetuoso con el medio ambiente"", ""Libre de patógenos; sin patógenos, mohos no deseados o bacterias"", ""Alta capacidad de absorción de humedad y rico en materia orgánica"", ""Actuación rápida con liberación constante de fertilizante mediante granulados de liberación lenta"", ""Excelentes características de esparcimiento con granulados libres de polvo de 2-5 mm"", ""Nutrición vegetal completa, que contiene todos los nutrientes esenciales"", ""Fertilizante universal sostenible adecuado para todo tipo de plantas, cultivos y suelos""]"
gid://shopify/Product/15448947949892,"[""Mejora la estructura y fertilidad del suelo"", ""NPK 2-2-3, rico en magnesio, calcio, ácidos húmicos y fúlvicos"", ""Minerales adicionales y elementos traza añadidos de la harina de lava"", ""Hecho de estiércol de vaca 100% puro"", ""Casi inodoro debido a la higienización y 100% libre de semillas de malas hierbas"", ""Libre de patógenos; sin patógenos, mohos no deseados o bacterias"", ""Efecto fertilizante constante a través de pellets de liberación lenta > 120 días"", ""Lixiviación mínima de elementos minerales debido al alto contenido orgánico de nitrógeno ligado"", ""Sin quemaduras en las hojas debido al muy bajo contenido de amoníaco"", ""Contiene nutrientes importantes y aproximadamente 60% de materia orgánica"", ""Pellets bien solubles y sin polvo con excelente patrón de esparcimiento"", ""Utilizable en todas las estaciones, excepto en caso de heladas en el suelo"", ""Fertilizante vegetal y activador del suelo todo en uno perfecto""]"
gid://shopify/Product/15448948146500,"[""Mejora la estructura y fertilidad del suelo"", ""NPK 2-2-3, rico en magnesio, calcio, ácidos húmicos y fúlvicos"", ""Minerales adicionales y elementos traza añadidos de la harina de lava"", ""Hecho de estiércol de vaca 100% puro"", ""Casi inodoro debido a la higienización y 100% libre de semillas de malas hierbas"", ""Libre de patógenos; sin patógenos, mohos no deseados o bacterias"", ""Efecto fertilizante constante a través de pellets de liberación lenta > 120 días"", ""Lixiviación mínima de elementos minerales debido al alto contenido orgánico de nitrógeno ligado"", ""Sin quemaduras en las hojas debido al muy bajo contenido de amoníaco"", ""Contiene nutrientes importantes y aproximadamente 60% de materia orgánica"", ""Pellets bien solubles y sin polvo con excelente patrón de esparcimiento"", ""Utilizable en todas las estaciones, excepto en caso de heladas en el suelo"", ""Fertilizante vegetal y activador del suelo todo en uno perfecto""]"
gid://shopify/Product/15448949489988,"[""Fertilizante compuesto orgánico-mineral NPK 9-2-7"", ""Fertilizante adecuado para pastos de caballos"", ""También altamente adecuado para pastos de ovejas, cabras y animales de hobby"", ""Resulta en pasto/pienso de alta calidad y palatable"", ""Promueve una cosecha saludable y estructurada"", ""Mejora la estructura del suelo y actúa como activador del suelo"", ""Crecimiento constante a través de microgránulos de liberación lenta con una duración de más de 120 días"", ""Hace que el pasto sea más resistente a la sequía, enfermedades y estrés"", ""El fertilizante penetra rápidamente en el suelo, evitando el consumo por parte de los animales"", ""Aplicable en cualquier estación, excepto durante las heladas del suelo"", ""Minerales adicionales y elementos traza añadidos de ceniza volcánica"", ""Fertilizante todo en uno perfecto para pastos""]"
gid://shopify/Product/15448949817668,"[""Aumenta el valor de pH del suelo"", ""Reduce el musgo y las malas hierbas"", ""Bueno para la vida y estructura del suelo"", ""Cal de 4 estaciones: Se puede aplicar todo el año"", ""Asegura una formación óptima de raíces y un suelo fértil"", ""Raíces más fuertes y firmes"", ""Granulado sin polvo, no se lava y tiene un excelente patrón de dispersión"", ""El magnesio asegura un hermoso color verde oscuro de céspedes y plantas"", ""Proporciona energía indirecta a través de una fotosíntesis y fertilidad del suelo óptimas"", ""Para céspedes y plantas más bellos, frescos y saludables"", ""Buena absorción de nutrientes, como nitrógeno, potasio y magnesio.""]"
gid://shopify/Product/15448951062852,"[""Fertilizante compuesto orgánico-mineral NPK 9-2-7"", ""Fertilizante adecuado para pastos de caballos"", ""También altamente adecuado para pastos de ovejas, cabras y animales de hobby"", ""Resulta en pasto/pienso de alta calidad y palatable"", ""Promueve una cosecha saludable y estructurada"", ""Mejora la estructura del suelo y actúa como activador del suelo"", ""Crecimiento constante a través de microgránulos de liberación lenta con una duración de más de 120 días"", ""Hace que el pasto sea más resistente a la sequía, enfermedades y estrés"", ""El fertilizante penetra rápidamente en el suelo, evitando el consumo por parte de los animales"", ""Aplicable en cualquier estación, excepto durante las heladas del suelo"", ""Minerales adicionales y elementos traza añadidos de ceniza volcánica"", ""Fertilizante todo en uno perfecto para pastos""]"
gid://shopify/Product/15448953422148,"[""Fertilizante compuesto orgánico-mineral NPK 9-2-7"", ""Fertilizante adecuado para pastos de caballos"", ""También altamente adecuado para pastos de ovejas, cabras y animales de hobby"", ""Resulta en pasto/pienso de alta calidad y palatable"", ""Promueve una cosecha saludable y estructurada"", ""Mejora la estructura del suelo y actúa como activador del suelo"", ""Crecimiento constante a través de microgránulos de liberación lenta con una duración de más de 120 días"", ""Hace que el pasto sea más resistente a la sequía, enfermedades y estrés"", ""El fertilizante penetra rápidamente en el suelo, evitando el consumo por parte de los animales"", ""Aplicable en cualquier estación, excepto durante las heladas del suelo"", ""Minerales adicionales y elementos traza añadidos de ceniza volcánica"", ""Fertilizante todo en uno perfecto para pastos""]"
