GID,short_description
gid://shopify/Product/15448928584004,"[""Îmbunătățește structura solului și fertilitatea acestuia"", ""NPK 2-2-3, bogat în magneziu, calciu, acizi humici și acizi fulvici"", ""Minerale și oligoelemente suplimentare din făină de lavă"", ""Fabricat din 100% bălegar de vacă pur"", ""Aproape inodor datorită igienizării și 100% fără semințe de buruieni"", ""Fără patogeni; fără agenți patogeni, mucegaiuri nedorite sau bacterii"", ""Efect constant de fertilizare prin granule cu eliberare lentă > 120 de zile"", ""Pierdere minimă de elemente minerale datorită conținutului ridicat de azot legat organic"", ""Nu arde frunzele datorită conținutului foarte scăzut de amoniac"", ""Conține nutrienți importanți și aproximativ 60% materie organică"", ""Granule bine solubile și fără praf, cu un model excelent de împrăștiere"", ""Utilizabil în toate sezoanele, cu excepția perioadelor de îngheț"", ""Fertilizator universal perfect pentru plante și activator de sol""]"
gid://shopify/Product/15448928616772,"[""Îmbunătățește structura solului și fertilitatea acestuia"", ""NPK 2-2-3, bogat în magneziu, calciu, acizi humici și acizi fulvici"", ""Minerale și oligoelemente suplimentare din făină de lavă"", ""Fabricat din 100% bălegar de vacă pur"", ""Aproape inodor datorită igienizării și 100% fără semințe de buruieni"", ""Fără patogeni; fără agenți patogeni, mucegaiuri nedorite sau bacterii"", ""Efect constant de fertilizare prin granule cu eliberare lentă > 120 de zile"", ""Pierdere minimă de elemente minerale datorită conținutului ridicat de azot legat organic"", ""Nu arde frunzele datorită conținutului foarte scăzut de amoniac"", ""Conține nutrienți importanți și aproximativ 60% materie organică"", ""Granule bine solubile și fără praf, cu un model excelent de împrăștiere"", ""Utilizabil în toate sezoanele, cu excepția perioadelor de îngheț"", ""Fertilizator universal perfect pentru plante și activator de sol""]"
gid://shopify/Product/15448928649540,"[""Îmbunătățește structura solului și fertilitatea acestuia"", ""NPK 2-2-3, bogat în magneziu, calciu, acizi humici și acizi fulvici"", ""Minerale și oligoelemente suplimentare din făină de lavă"", ""Fabricat din 100% bălegar de vacă pur"", ""Aproape inodor datorită igienizării și 100% fără semințe de buruieni"", ""Fără patogeni; fără agenți patogeni, mucegaiuri nedorite sau bacterii"", ""Efect constant de fertilizare prin granule cu eliberare lentă > 120 de zile"", ""Pierdere minimă de elemente minerale datorită conținutului ridicat de azot legat organic"", ""Nu arde frunzele datorită conținutului foarte scăzut de amoniac"", ""Conține nutrienți importanți și aproximativ 60% materie organică"", ""Granule bine solubile și fără praf, cu un model excelent de împrăștiere"", ""Utilizabil în toate sezoanele, cu excepția perioadelor de îngheț"", ""Fertilizator universal perfect pentru plante și activator de sol""]"
gid://shopify/Product/15448928682308,"[""Îmbunătățește structura solului și fertilitatea acestuia"", ""NPK 2-2-3, bogat în magneziu, calciu, acizi humici și acizi fulvici"", ""Minerale și oligoelemente suplimentare din făină de lavă"", ""Fabricat din 100% bălegar de vacă pur"", ""Aproape inodor datorită igienizării și 100% fără semințe de buruieni"", ""Fără patogeni; fără agenți patogeni, mucegaiuri nedorite sau bacterii"", ""Efect constant de fertilizare prin granule cu eliberare lentă > 120 de zile"", ""Pierdere minimă de elemente minerale datorită conținutului ridicat de azot legat organic"", ""Nu arde frunzele datorită conținutului foarte scăzut de amoniac"", ""Conține nutrienți importanți și aproximativ 60% materie organică"", ""Granule bine solubile și fără praf, cu un model excelent de împrăștiere"", ""Utilizabil în toate sezoanele, cu excepția perioadelor de îngheț"", ""Fertilizator universal perfect pentru plante și activator de sol""]"
gid://shopify/Product/15448937169220,"[""Îmbunătățește structura solului și fertilitatea acestuia"", ""NPK 2-2-3, bogat în magneziu, calciu, acizi humici și acizi fulvici"", ""Minerale și oligoelemente suplimentare din făină de lavă"", ""Fabricat din 100% bălegar de vacă pur"", ""Aproape inodor datorită igienizării și 100% fără semințe de buruieni"", ""Fără patogeni; fără agenți patogeni, mucegaiuri nedorite sau bacterii"", ""Efect constant de fertilizare prin granule cu eliberare lentă > 120 de zile"", ""Pierdere minimă de elemente minerale datorită conținutului ridicat de azot legat organic"", ""Nu arde frunzele datorită conținutului foarte scăzut de amoniac"", ""Conține nutrienți importanți și aproximativ 60% materie organică"", ""Granule bine solubile și fără praf, cu un model excelent de împrăștiere"", ""Utilizabil în toate sezoanele, cu excepția perioadelor de îngheț"", ""Fertilizator universal perfect pentru plante și activator de sol""]"
gid://shopify/Product/15448937234756,"[""Îmbunătățește structura solului și fertilitatea acestuia"", ""NPK 2-2-3, bogat în magneziu, calciu, acizi humici și acizi fulvici"", ""Minerale și oligoelemente suplimentare din făină de lavă"", ""Fabricat din 100% bălegar de vacă pur"", ""Aproape inodor datorită igienizării și 100% fără semințe de buruieni"", ""Fără patogeni; fără agenți patogeni, mucegaiuri nedorite sau bacterii"", ""Efect constant de fertilizare prin granule cu eliberare lentă > 120 de zile"", ""Pierdere minimă de elemente minerale datorită conținutului ridicat de azot legat organic"", ""Nu arde frunzele datorită conținutului foarte scăzut de amoniac"", ""Conține nutrienți importanți și aproximativ 60% materie organică"", ""Granule bine solubile și fără praf, cu un model excelent de împrăștiere"", ""Utilizabil în toate sezoanele, cu excepția perioadelor de îngheț"", ""Fertilizator universal perfect pentru plante și activator de sol""]"
gid://shopify/Product/15448937300292,"[""Îngrășământ compus organic-mineral NPK 9-2-7"", ""Îngrășământ potrivit pentru pajiștile pentru cai"", ""De asemenea, foarte potrivit pentru pajiștile pentru oi, capre și animale de hobby"", ""Conduce la o iarbă/hrană de înaltă calitate și savuroasă"", ""Promovează o recoltă sănătoasă și structurată"", ""Îmbunătățește structura solului și acționează ca activator al solului"", ""Creștere consistentă prin microgranule cu eliberare lentă cu o durată de peste 120 de zile"", ""Face iarba mai rezistentă la secetă, boli și stres"", ""Îngrășământul pătrunde rapid în sol, prevenind consumul de către animale"", ""Aplicabil în orice sezon, cu excepția înghețului în sol"", ""Adăugare de minerale și elemente de urmă din cenușă vulcanică"", ""Îngrășământ perfect all-in-one pentru pajiști""]"
gid://shopify/Product/15448937333060,"[""Fertilizator organic-mineral compus NPK (Mg) 6-2-12 (+2)"", ""Iarbă puternică în timpul iernii, rezultate frumoase vizibile până în primăvară"", ""Rezultă într-un gazon puternic, verde închis"", ""Sporește rezistența împotriva secetei, înghețului, bolilor și dăunătorilor"", ""Îmbunătățește structura solului și promovează viața pozitivă a solului"", ""Furnizare continuă de nutrienți prin granule cu eliberare lentă > 100 zile"", ""Aplicabil universal – nu afectează pH-ul solului"", ""Model excelent de împrăștiere cu microgranule fără praf"", ""Suprimă creșterea nedorită a mușchiului și buruienilor"", ""Fertilizatorul de Toamnă All-In-One este îmbogățit cu întăritoare pentru plante""]"
gid://shopify/Product/15448938643780,"[""Îmbunătățește structura solului și fertilitatea acestuia"", ""NPK 2-2-3, bogat în magneziu, calciu, acizi humici și acizi fulvici"", ""Minerale și oligoelemente suplimentare din făină de lavă"", ""Fabricat din 100% bălegar de vacă pur"", ""Aproape inodor datorită igienizării și 100% fără semințe de buruieni"", ""Fără patogeni; fără agenți patogeni, mucegaiuri nedorite sau bacterii"", ""Efect constant de fertilizare prin granule cu eliberare lentă > 120 de zile"", ""Pierdere minimă de elemente minerale datorită conținutului ridicat de azot legat organic"", ""Nu arde frunzele datorită conținutului foarte scăzut de amoniac"", ""Conține nutrienți importanți și aproximativ 60% materie organică"", ""Granule bine solubile și fără praf, cu un model excelent de împrăștiere"", ""Utilizabil în toate sezoanele, cu excepția perioadelor de îngheț"", ""Fertilizator universal perfect pentru plante și activator de sol""]"
gid://shopify/Product/15448939725124,"[""Îmbunătățește structura solului și fertilitatea acestuia"", ""NPK 2-2-3, bogat în magneziu, calciu, acizi humici și acizi fulvici"", ""Minerale și oligoelemente suplimentare din făină de lavă"", ""Fabricat din 100% bălegar de vacă pur"", ""Aproape inodor datorită igienizării și 100% fără semințe de buruieni"", ""Fără patogeni; fără agenți patogeni, mucegaiuri nedorite sau bacterii"", ""Efect constant de fertilizare prin granule cu eliberare lentă > 120 de zile"", ""Pierdere minimă de elemente minerale datorită conținutului ridicat de azot legat organic"", ""Nu arde frunzele datorită conținutului foarte scăzut de amoniac"", ""Conține nutrienți importanți și aproximativ 60% materie organică"", ""Granule bine solubile și fără praf, cu un model excelent de împrăștiere"", ""Utilizabil în toate sezoanele, cu excepția perioadelor de îngheț"", ""Fertilizator universal perfect pentru plante și activator de sol""]"
