GID,short_description
gid://shopify/Product/15448928584004,"[""Zlepšuje strukturu půdy a její úrodnost"", ""NPK 2-2-3, bohaté na hořčík, vápník, huminové a fulvokyseliny"", ""Extra přidané minerály a stopové prvky z lávové moučky"", ""Vyrobeno ze 100% čistého kravského hnoje"", ""Téměř bez zápachu díky hygienizaci a 100% bez semen plevele"", ""Bez patogenů; žádné patogeny, nežádoucí plísně nebo bakterie"", ""Konstantní hnojivý účinek díky pomalu se uvolňujícím peletám > 120 dní"", ""Minimální vyplavování minerálních prvků díky vysokému obsahu organických látek a vázaného dusíku"", ""Žádné popálení listů díky velmi nízkému obsahu amoniaku"", ""Obsahuje důležité živiny a přibližně 60% organické hmoty"", ""Dobře rozpustné a bezprašné pelety s vynikajícím rozptylovým vzorem"", ""Použitelné v každém ročním období, kromě období mrazu"", ""Perfektní univerzální hnojivo a aktivátor půdy""]"
gid://shopify/Product/15448928616772,"[""Zlepšuje strukturu půdy a její úrodnost"", ""NPK 2-2-3, bohaté na hořčík, vápník, huminové a fulvokyseliny"", ""Extra přidané minerály a stopové prvky z lávové moučky"", ""Vyrobeno ze 100% čistého kravského hnoje"", ""Téměř bez zápachu díky hygienizaci a 100% bez semen plevele"", ""Bez patogenů; žádné patogeny, nežádoucí plísně nebo bakterie"", ""Konstantní hnojivý účinek díky pomalu se uvolňujícím peletám > 120 dní"", ""Minimální vyplavování minerálních prvků díky vysokému obsahu organických látek a vázaného dusíku"", ""Žádné popálení listů díky velmi nízkému obsahu amoniaku"", ""Obsahuje důležité živiny a přibližně 60% organické hmoty"", ""Dobře rozpustné a bezprašné pelety s vynikajícím rozptylovým vzorem"", ""Použitelné v každém ročním období, kromě období mrazu"", ""Perfektní univerzální hnojivo a aktivátor půdy""]"
gid://shopify/Product/15448928649540,"[""Zlepšuje strukturu půdy a její úrodnost"", ""NPK 2-2-3, bohaté na hořčík, vápník, huminové a fulvokyseliny"", ""Extra přidané minerály a stopové prvky z lávové moučky"", ""Vyrobeno ze 100% čistého kravského hnoje"", ""Téměř bez zápachu díky hygienizaci a 100% bez semen plevele"", ""Bez patogenů; žádné patogeny, nežádoucí plísně nebo bakterie"", ""Konstantní hnojivý účinek díky pomalu se uvolňujícím peletám > 120 dní"", ""Minimální vyplavování minerálních prvků díky vysokému obsahu organických látek a vázaného dusíku"", ""Žádné popálení listů díky velmi nízkému obsahu amoniaku"", ""Obsahuje důležité živiny a přibližně 60% organické hmoty"", ""Dobře rozpustné a bezprašné pelety s vynikajícím rozptylovým vzorem"", ""Použitelné v každém ročním období, kromě období mrazu"", ""Perfektní univerzální hnojivo a aktivátor půdy""]"
gid://shopify/Product/15448928682308,"[""Zlepšuje strukturu půdy a její úrodnost"", ""NPK 2-2-3, bohaté na hořčík, vápník, huminové a fulvokyseliny"", ""Extra přidané minerály a stopové prvky z lávové moučky"", ""Vyrobeno ze 100% čistého kravského hnoje"", ""Téměř bez zápachu díky hygienizaci a 100% bez semen plevele"", ""Bez patogenů; žádné patogeny, nežádoucí plísně nebo bakterie"", ""Konstantní hnojivý účinek díky pomalu se uvolňujícím peletám > 120 dní"", ""Minimální vyplavování minerálních prvků díky vysokému obsahu organických látek a vázaného dusíku"", ""Žádné popálení listů díky velmi nízkému obsahu amoniaku"", ""Obsahuje důležité živiny a přibližně 60% organické hmoty"", ""Dobře rozpustné a bezprašné pelety s vynikajícím rozptylovým vzorem"", ""Použitelné v každém ročním období, kromě období mrazu"", ""Perfektní univerzální hnojivo a aktivátor půdy""]"
gid://shopify/Product/15448937169220,"[""Zlepšuje strukturu půdy a její úrodnost"", ""NPK 2-2-3, bohaté na hořčík, vápník, huminové a fulvokyseliny"", ""Extra přidané minerály a stopové prvky z lávové moučky"", ""Vyrobeno ze 100% čistého kravského hnoje"", ""Téměř bez zápachu díky hygienizaci a 100% bez semen plevele"", ""Bez patogenů; žádné patogeny, nežádoucí plísně nebo bakterie"", ""Konstantní hnojivý účinek díky pomalu se uvolňujícím peletám > 120 dní"", ""Minimální vyplavování minerálních prvků díky vysokému obsahu organických látek a vázaného dusíku"", ""Žádné popálení listů díky velmi nízkému obsahu amoniaku"", ""Obsahuje důležité živiny a přibližně 60% organické hmoty"", ""Dobře rozpustné a bezprašné pelety s vynikajícím rozptylovým vzorem"", ""Použitelné v každém ročním období, kromě období mrazu"", ""Perfektní univerzální hnojivo a aktivátor půdy""]"
gid://shopify/Product/15448937234756,"[""Zlepšuje strukturu půdy a její úrodnost"", ""NPK 2-2-3, bohaté na hořčík, vápník, huminové a fulvokyseliny"", ""Extra přidané minerály a stopové prvky z lávové moučky"", ""Vyrobeno ze 100% čistého kravského hnoje"", ""Téměř bez zápachu díky hygienizaci a 100% bez semen plevele"", ""Bez patogenů; žádné patogeny, nežádoucí plísně nebo bakterie"", ""Konstantní hnojivý účinek díky pomalu se uvolňujícím peletám > 120 dní"", ""Minimální vyplavování minerálních prvků díky vysokému obsahu organických látek a vázaného dusíku"", ""Žádné popálení listů díky velmi nízkému obsahu amoniaku"", ""Obsahuje důležité živiny a přibližně 60% organické hmoty"", ""Dobře rozpustné a bezprašné pelety s vynikajícím rozptylovým vzorem"", ""Použitelné v každém ročním období, kromě období mrazu"", ""Perfektní univerzální hnojivo a aktivátor půdy""]"
gid://shopify/Product/15448937300292,"[""Směsné organicko-minerální hnojivo NPK 9-2-7"", ""Hnojivo vhodné pro koňské pastviny"", ""Také vysoce vhodné pro pastviny pro ovce, kozy a hobby zvířata"", ""Výsledkem je vysoce kvalitní a chutná tráva/krmivo"", ""Podporuje zdravou a strukturovanou sklizeň"", ""Zlepšuje strukturu půdy a působí jako aktivátor půdy"", ""Konzistentní růst díky pomalu se uvolňujícím mikrogranulím s dobou trvání přes 120 dní"", ""Dělá trávu odolnější vůči suchu, chorobám a stresu"", ""Hnojivo rychle proniká do půdy, což zabraňuje konzumaci zvířaty"", ""Použitelné v jakémkoli ročním období, kromě zamrzlé půdy"", ""Přidané minerály a stopové prvky z vulkanického popela"", ""Perfektní all-in-one hnojivo pro pastviny""]"
gid://shopify/Product/15448937333060,"[""Směsné organicko-minerální hnojivo NPK (Mg) 6-2-12 (+2)"", ""Silný trávník v zimě, krásné výsledky viditelné až do jara"", ""Výsledkem je silný, tmavě zelený trávník"", ""Zvyšuje odolnost proti suchu, mrazu, chorobám a škůdcům"", ""Zlepšuje strukturu půdy a podporuje pozitivní půdní život"", ""Kontinuální přísun živin prostřednictvím pomalu se uvolňujících granulí > 100 dní"", ""Univerzálně použitelný – neovlivňuje pH půdy"", ""Vynikající rozptylový vzor s bezprašnými mikrogranulemi"", ""Potlačuje růst nežádoucího mechu a plevele"", ""Podzimní hnojivo All-In-One je obohaceno o posilovače rostlin""]"
gid://shopify/Product/15448938643780,"[""Zlepšuje strukturu půdy a její úrodnost"", ""NPK 2-2-3, bohaté na hořčík, vápník, huminové a fulvokyseliny"", ""Extra přidané minerály a stopové prvky z lávové moučky"", ""Vyrobeno ze 100% čistého kravského hnoje"", ""Téměř bez zápachu díky hygienizaci a 100% bez semen plevele"", ""Bez patogenů; žádné patogeny, nežádoucí plísně nebo bakterie"", ""Konstantní hnojivý účinek díky pomalu se uvolňujícím peletám > 120 dní"", ""Minimální vyplavování minerálních prvků díky vysokému obsahu organických látek a vázaného dusíku"", ""Žádné popálení listů díky velmi nízkému obsahu amoniaku"", ""Obsahuje důležité živiny a přibližně 60% organické hmoty"", ""Dobře rozpustné a bezprašné pelety s vynikajícím rozptylovým vzorem"", ""Použitelné v každém ročním období, kromě období mrazu"", ""Perfektní univerzální hnojivo a aktivátor půdy""]"
gid://shopify/Product/15448939725124,"[""Zlepšuje strukturu půdy a její úrodnost"", ""NPK 2-2-3, bohaté na hořčík, vápník, huminové a fulvokyseliny"", ""Extra přidané minerály a stopové prvky z lávové moučky"", ""Vyrobeno ze 100% čistého kravského hnoje"", ""Téměř bez zápachu díky hygienizaci a 100% bez semen plevele"", ""Bez patogenů; žádné patogeny, nežádoucí plísně nebo bakterie"", ""Konstantní hnojivý účinek díky pomalu se uvolňujícím peletám > 120 dní"", ""Minimální vyplavování minerálních prvků díky vysokému obsahu organických látek a vázaného dusíku"", ""Žádné popálení listů díky velmi nízkému obsahu amoniaku"", ""Obsahuje důležité živiny a přibližně 60% organické hmoty"", ""Dobře rozpustné a bezprašné pelety s vynikajícím rozptylovým vzorem"", ""Použitelné v každém ročním období, kromě období mrazu"", ""Perfektní univerzální hnojivo a aktivátor půdy""]"
