GID,short_description
gid://shopify/Product/15448928584004,"[""Forbedrer jordstrukturen og jordens frugtbarhed"", ""NPK 2-2-3, rig på magnesium, calcium, huminsyrer og fulvinsyrer"", ""Ekstra tilsatte mineraler og sporstoffer fra lavamel"", ""Fremstillet af 100% ren ko-gødning"", ""Næsten lugtfri på grund af hygiejnisering og 100% fri for ukrudtsfrø"", ""Patogenfri; ingen patogener, uønskede mug eller bakterier"", ""Konstant gødningseffekt gennem langsomt frigivende pellets > 120 dage"", ""Minimal udvaskning af mineraler på grund af højt organisk indhold af bundet kvælstof"", ""Ingen bladforbrænding på grund af meget lavt ammoniakindhold"", ""Indeholder vigtige næringsstoffer og ca. 60% organisk materiale"", ""Godt opløselige og støvfri pellets med fremragende spredningsmønster"", ""Anvendelig i alle sæsoner, undtagen i tilfælde af jordfrost"", ""Perfekt alsidig plantegødning og jordaktivator""]"
gid://shopify/Product/15448928616772,"[""Forbedrer jordstrukturen og jordens frugtbarhed"", ""NPK 2-2-3, rig på magnesium, calcium, huminsyrer og fulvinsyrer"", ""Ekstra tilsatte mineraler og sporstoffer fra lavamel"", ""Fremstillet af 100% ren ko-gødning"", ""Næsten lugtfri på grund af hygiejnisering og 100% fri for ukrudtsfrø"", ""Patogenfri; ingen patogener, uønskede mug eller bakterier"", ""Konstant gødningseffekt gennem langsomt frigivende pellets > 120 dage"", ""Minimal udvaskning af mineraler på grund af højt organisk indhold af bundet kvælstof"", ""Ingen bladforbrænding på grund af meget lavt ammoniakindhold"", ""Indeholder vigtige næringsstoffer og ca. 60% organisk materiale"", ""Godt opløselige og støvfri pellets med fremragende spredningsmønster"", ""Anvendelig i alle sæsoner, undtagen i tilfælde af jordfrost"", ""Perfekt alsidig plantegødning og jordaktivator""]"
gid://shopify/Product/15448928649540,"[""Forbedrer jordstrukturen og jordens frugtbarhed"", ""NPK 2-2-3, rig på magnesium, calcium, huminsyrer og fulvinsyrer"", ""Ekstra tilsatte mineraler og sporstoffer fra lavamel"", ""Fremstillet af 100% ren ko-gødning"", ""Næsten lugtfri på grund af hygiejnisering og 100% fri for ukrudtsfrø"", ""Patogenfri; ingen patogener, uønskede mug eller bakterier"", ""Konstant gødningseffekt gennem langsomt frigivende pellets > 120 dage"", ""Minimal udvaskning af mineraler på grund af højt organisk indhold af bundet kvælstof"", ""Ingen bladforbrænding på grund af meget lavt ammoniakindhold"", ""Indeholder vigtige næringsstoffer og ca. 60% organisk materiale"", ""Godt opløselige og støvfri pellets med fremragende spredningsmønster"", ""Anvendelig i alle sæsoner, undtagen i tilfælde af jordfrost"", ""Perfekt alsidig plantegødning og jordaktivator""]"
gid://shopify/Product/15448928682308,"[""Forbedrer jordstrukturen og jordens frugtbarhed"", ""NPK 2-2-3, rig på magnesium, calcium, huminsyrer og fulvinsyrer"", ""Ekstra tilsatte mineraler og sporstoffer fra lavamel"", ""Fremstillet af 100% ren ko-gødning"", ""Næsten lugtfri på grund af hygiejnisering og 100% fri for ukrudtsfrø"", ""Patogenfri; ingen patogener, uønskede mug eller bakterier"", ""Konstant gødningseffekt gennem langsomt frigivende pellets > 120 dage"", ""Minimal udvaskning af mineraler på grund af højt organisk indhold af bundet kvælstof"", ""Ingen bladforbrænding på grund af meget lavt ammoniakindhold"", ""Indeholder vigtige næringsstoffer og ca. 60% organisk materiale"", ""Godt opløselige og støvfri pellets med fremragende spredningsmønster"", ""Anvendelig i alle sæsoner, undtagen i tilfælde af jordfrost"", ""Perfekt alsidig plantegødning og jordaktivator""]"
gid://shopify/Product/15448937169220,"[""Forbedrer jordstrukturen og jordens frugtbarhed"", ""NPK 2-2-3, rig på magnesium, calcium, huminsyrer og fulvinsyrer"", ""Ekstra tilsatte mineraler og sporstoffer fra lavamel"", ""Fremstillet af 100% ren ko-gødning"", ""Næsten lugtfri på grund af hygiejnisering og 100% fri for ukrudtsfrø"", ""Patogenfri; ingen patogener, uønskede mug eller bakterier"", ""Konstant gødningseffekt gennem langsomt frigivende pellets > 120 dage"", ""Minimal udvaskning af mineraler på grund af højt organisk indhold af bundet kvælstof"", ""Ingen bladforbrænding på grund af meget lavt ammoniakindhold"", ""Indeholder vigtige næringsstoffer og ca. 60% organisk materiale"", ""Godt opløselige og støvfri pellets med fremragende spredningsmønster"", ""Anvendelig i alle sæsoner, undtagen i tilfælde af jordfrost"", ""Perfekt alsidig plantegødning og jordaktivator""]"
gid://shopify/Product/15448937234756,"[""Forbedrer jordstrukturen og jordens frugtbarhed"", ""NPK 2-2-3, rig på magnesium, calcium, huminsyrer og fulvinsyrer"", ""Ekstra tilsatte mineraler og sporstoffer fra lavamel"", ""Fremstillet af 100% ren ko-gødning"", ""Næsten lugtfri på grund af hygiejnisering og 100% fri for ukrudtsfrø"", ""Patogenfri; ingen patogener, uønskede mug eller bakterier"", ""Konstant gødningseffekt gennem langsomt frigivende pellets > 120 dage"", ""Minimal udvaskning af mineraler på grund af højt organisk indhold af bundet kvælstof"", ""Ingen bladforbrænding på grund af meget lavt ammoniakindhold"", ""Indeholder vigtige næringsstoffer og ca. 60% organisk materiale"", ""Godt opløselige og støvfri pellets med fremragende spredningsmønster"", ""Anvendelig i alle sæsoner, undtagen i tilfælde af jordfrost"", ""Perfekt alsidig plantegødning og jordaktivator""]"
gid://shopify/Product/15448937300292,"[""Sammensat organisk-mineralsk gødning NPK 9-2-7"", ""Gødning egnet til hestefolde"", ""Også yderst velegnet til får, geder og hobbydyrs græsarealer"", ""Resulterer i højkvalitets og velsmagende græs/foder"", ""Fremmer sund og struktureret høst"", ""Forbedrer jordstrukturen og virker som en jordaktivator"", ""Konsekvent vækst gennem langsomt frigivende mikrogranulater med en varighed på over 120 dage"", ""Gør græsset mere modstandsdygtigt over for tørke, sygdomme og stress"", ""Gødningen trænger hurtigt ned i jorden, hvilket forhindrer indtag af dyr"", ""Anvendelig i enhver sæson, undtagen under jordfrost"", ""Yderligere mineraler og sporstoffer tilføjet fra vulkansk aske"", ""Perfekt alt-i-én gødning til græsarealer""]"
gid://shopify/Product/15448937333060,"[""Sammensat organisk-mineralsk gødning NPK (Mg) 6-2-12 (+2)"", ""Stærkt græs om vinteren, smukke resultater synlige indtil foråret"", ""Resulterer i en stærk, mørkegrøn græsplæne"", ""Forbedrer modstandsdygtigheden mod tørke, frost, sygdomme og skadedyr"", ""Forbedrer jordstrukturen og fremmer positivt jordliv"", ""Kontinuerlig næringsstoftilførsel gennem langsomt frigivende granulater > 100 dage"", ""Universelt anvendelig – påvirker ikke jordens pH"", ""Fremragende spredningsmønster med støvfri mikrogranulater"", ""Undertrykker uønsket mos- og ukrudtsvækst"", ""Efterårsgødning All-In-One er beriget med planteforstærkere""]"
gid://shopify/Product/15448938643780,"[""Forbedrer jordstrukturen og jordens frugtbarhed"", ""NPK 2-2-3, rig på magnesium, calcium, huminsyrer og fulvinsyrer"", ""Ekstra tilsatte mineraler og sporstoffer fra lavamel"", ""Fremstillet af 100% ren ko-gødning"", ""Næsten lugtfri på grund af hygiejnisering og 100% fri for ukrudtsfrø"", ""Patogenfri; ingen patogener, uønskede mug eller bakterier"", ""Konstant gødningseffekt gennem langsomt frigivende pellets > 120 dage"", ""Minimal udvaskning af mineraler på grund af højt organisk indhold af bundet kvælstof"", ""Ingen bladforbrænding på grund af meget lavt ammoniakindhold"", ""Indeholder vigtige næringsstoffer og ca. 60% organisk materiale"", ""Godt opløselige og støvfri pellets med fremragende spredningsmønster"", ""Anvendelig i alle sæsoner, undtagen i tilfælde af jordfrost"", ""Perfekt alsidig plantegødning og jordaktivator""]"
gid://shopify/Product/15448939725124,"[""Forbedrer jordstrukturen og jordens frugtbarhed"", ""NPK 2-2-3, rig på magnesium, calcium, huminsyrer og fulvinsyrer"", ""Ekstra tilsatte mineraler og sporstoffer fra lavamel"", ""Fremstillet af 100% ren ko-gødning"", ""Næsten lugtfri på grund af hygiejnisering og 100% fri for ukrudtsfrø"", ""Patogenfri; ingen patogener, uønskede mug eller bakterier"", ""Konstant gødningseffekt gennem langsomt frigivende pellets > 120 dage"", ""Minimal udvaskning af mineraler på grund af højt organisk indhold af bundet kvælstof"", ""Ingen bladforbrænding på grund af meget lavt ammoniakindhold"", ""Indeholder vigtige næringsstoffer og ca. 60% organisk materiale"", ""Godt opløselige og støvfri pellets med fremragende spredningsmønster"", ""Anvendelig i alle sæsoner, undtagen i tilfælde af jordfrost"", ""Perfekt alsidig plantegødning og jordaktivator""]"
