GID,short_description
gid://shopify/Product/15448928584004,"[""Подобрява структурата и плодородието на почвата"", ""NPK 2-2-3, богат на магнезий, калций, хуминови киселини и фулвови киселини"", ""Допълнително добавени минерали и микроелементи от лавово брашно"", ""Изработен от 100% чист кравешки тор"", ""Почти без мирис поради хигиенизация и 100% свободен от плевелни семена"", ""Без патогени; без патогени, нежелани мухъли или бактерии"", ""Постоянен торен ефект чрез бавно освобождаващи се гранули > 120 дни"", ""Минимално измиване на минерални елементи поради високото органично съдържание на свързан азот"", ""Без изгаряне на листа поради много ниско съдържание на амоняк"", ""Съдържа важни хранителни вещества и приблизително 60% органично вещество"", ""Добре разтворими и без прах гранули с отличен модел на разпръскване"", ""Може да се използва през всички сезони, с изключение на случаи на замръзване на земята"", ""Перфектен универсален тор за растения и активатор на почвата""]"
gid://shopify/Product/15448928616772,"[""Подобрява структурата и плодородието на почвата"", ""NPK 2-2-3, богат на магнезий, калций, хуминови киселини и фулвови киселини"", ""Допълнително добавени минерали и микроелементи от лавово брашно"", ""Изработен от 100% чист кравешки тор"", ""Почти без мирис поради хигиенизация и 100% свободен от плевелни семена"", ""Без патогени; без патогени, нежелани мухъли или бактерии"", ""Постоянен торен ефект чрез бавно освобождаващи се гранули > 120 дни"", ""Минимално измиване на минерални елементи поради високото органично съдържание на свързан азот"", ""Без изгаряне на листа поради много ниско съдържание на амоняк"", ""Съдържа важни хранителни вещества и приблизително 60% органично вещество"", ""Добре разтворими и без прах гранули с отличен модел на разпръскване"", ""Може да се използва през всички сезони, с изключение на случаи на замръзване на земята"", ""Перфектен универсален тор за растения и активатор на почвата""]"
gid://shopify/Product/15448928649540,"[""Подобрява структурата и плодородието на почвата"", ""NPK 2-2-3, богат на магнезий, калций, хуминови киселини и фулвови киселини"", ""Допълнително добавени минерали и микроелементи от лавово брашно"", ""Изработен от 100% чист кравешки тор"", ""Почти без мирис поради хигиенизация и 100% свободен от плевелни семена"", ""Без патогени; без патогени, нежелани мухъли или бактерии"", ""Постоянен торен ефект чрез бавно освобождаващи се гранули > 120 дни"", ""Минимално измиване на минерални елементи поради високото органично съдържание на свързан азот"", ""Без изгаряне на листа поради много ниско съдържание на амоняк"", ""Съдържа важни хранителни вещества и приблизително 60% органично вещество"", ""Добре разтворими и без прах гранули с отличен модел на разпръскване"", ""Може да се използва през всички сезони, с изключение на случаи на замръзване на земята"", ""Перфектен универсален тор за растения и активатор на почвата""]"
gid://shopify/Product/15448928682308,"[""Подобрява структурата и плодородието на почвата"", ""NPK 2-2-3, богат на магнезий, калций, хуминови киселини и фулвови киселини"", ""Допълнително добавени минерали и микроелементи от лавово брашно"", ""Изработен от 100% чист кравешки тор"", ""Почти без мирис поради хигиенизация и 100% свободен от плевелни семена"", ""Без патогени; без патогени, нежелани мухъли или бактерии"", ""Постоянен торен ефект чрез бавно освобождаващи се гранули > 120 дни"", ""Минимално измиване на минерални елементи поради високото органично съдържание на свързан азот"", ""Без изгаряне на листа поради много ниско съдържание на амоняк"", ""Съдържа важни хранителни вещества и приблизително 60% органично вещество"", ""Добре разтворими и без прах гранули с отличен модел на разпръскване"", ""Може да се използва през всички сезони, с изключение на случаи на замръзване на земята"", ""Перфектен универсален тор за растения и активатор на почвата""]"
gid://shopify/Product/15448937169220,"[""Подобрява структурата и плодородието на почвата"", ""NPK 2-2-3, богат на магнезий, калций, хуминови киселини и фулвови киселини"", ""Допълнително добавени минерали и микроелементи от лавово брашно"", ""Изработен от 100% чист кравешки тор"", ""Почти без мирис поради хигиенизация и 100% свободен от плевелни семена"", ""Без патогени; без патогени, нежелани мухъли или бактерии"", ""Постоянен торен ефект чрез бавно освобождаващи се гранули > 120 дни"", ""Минимално измиване на минерални елементи поради високото органично съдържание на свързан азот"", ""Без изгаряне на листа поради много ниско съдържание на амоняк"", ""Съдържа важни хранителни вещества и приблизително 60% органично вещество"", ""Добре разтворими и без прах гранули с отличен модел на разпръскване"", ""Може да се използва през всички сезони, с изключение на случаи на замръзване на земята"", ""Перфектен универсален тор за растения и активатор на почвата""]"
gid://shopify/Product/15448937234756,"[""Подобрява структурата и плодородието на почвата"", ""NPK 2-2-3, богат на магнезий, калций, хуминови киселини и фулвови киселини"", ""Допълнително добавени минерали и микроелементи от лавово брашно"", ""Изработен от 100% чист кравешки тор"", ""Почти без мирис поради хигиенизация и 100% свободен от плевелни семена"", ""Без патогени; без патогени, нежелани мухъли или бактерии"", ""Постоянен торен ефект чрез бавно освобождаващи се гранули > 120 дни"", ""Минимално измиване на минерални елементи поради високото органично съдържание на свързан азот"", ""Без изгаряне на листа поради много ниско съдържание на амоняк"", ""Съдържа важни хранителни вещества и приблизително 60% органично вещество"", ""Добре разтворими и без прах гранули с отличен модел на разпръскване"", ""Може да се използва през всички сезони, с изключение на случаи на замръзване на земята"", ""Перфектен универсален тор за растения и активатор на почвата""]"
gid://shopify/Product/15448937300292,"[""Сложен органико-минерален тор NPK 9-2-7"", ""Подходящ тор за конски пасища"", ""Също така изключително подходящ за пасища за овце, кози и любителски животни"", ""Води до висококачествена и вкусна трева/храна"", ""Насърчава здравословен и структуриран добив"", ""Подобрява структурата на почвата и действа като активатор на почвата"", ""Постоянен растеж чрез бавноосвобождаващи се микрогранули с продължителност над 120 дни"", ""Прави тревата по-устойчива на суша, болести и стрес"", ""Торът бързо прониква в почвата, предотвратявайки консумацията от животни"", ""Приложим във всякакъв сезон, с изключение на периода на замръзване на земята"", ""Добавени допълнителни минерали и микроелементи от вулканична пепел"", ""Перфектен всичко-в-едно тор за пасища""]"
gid://shopify/Product/15448937333060,"[""Сложен органико-минерален тор NPK (Mg) 6-2-12 (+2)"", ""Силна трева през зимата, красиви резултати видими до пролетта"", ""Води до силен, тъмнозелен тревен килим"", ""Повишава устойчивостта срещу суша, студ, болести и вредители"", ""Подобрява структурата на почвата и стимулира положителния почвен живот"", ""Постоянно снабдяване с хранителни вещества чрез бавноосвобождаващи се гранули > 100 дни"", ""Универсално приложим – не влияе на pH на почвата"", ""Отличен модел на разпръскване с прахообразни микрогранули"", ""Потиска нежелания растеж на мъх и плевели"", ""Есенен тор All-In-One, обогатен с укрепители за растения""]"
gid://shopify/Product/15448938643780,"[""Подобрява структурата и плодородието на почвата"", ""NPK 2-2-3, богат на магнезий, калций, хуминови киселини и фулвови киселини"", ""Допълнително добавени минерали и микроелементи от лавово брашно"", ""Изработен от 100% чист кравешки тор"", ""Почти без мирис поради хигиенизация и 100% свободен от плевелни семена"", ""Без патогени; без патогени, нежелани мухъли или бактерии"", ""Постоянен торен ефект чрез бавно освобождаващи се гранули > 120 дни"", ""Минимално измиване на минерални елементи поради високото органично съдържание на свързан азот"", ""Без изгаряне на листа поради много ниско съдържание на амоняк"", ""Съдържа важни хранителни вещества и приблизително 60% органично вещество"", ""Добре разтворими и без прах гранули с отличен модел на разпръскване"", ""Може да се използва през всички сезони, с изключение на случаи на замръзване на земята"", ""Перфектен универсален тор за растения и активатор на почвата""]"
gid://shopify/Product/15448939725124,"[""Подобрява структурата и плодородието на почвата"", ""NPK 2-2-3, богат на магнезий, калций, хуминови киселини и фулвови киселини"", ""Допълнително добавени минерали и микроелементи от лавово брашно"", ""Изработен от 100% чист кравешки тор"", ""Почти без мирис поради хигиенизация и 100% свободен от плевелни семена"", ""Без патогени; без патогени, нежелани мухъли или бактерии"", ""Постоянен торен ефект чрез бавно освобождаващи се гранули > 120 дни"", ""Минимално измиване на минерални елементи поради високото органично съдържание на свързан азот"", ""Без изгаряне на листа поради много ниско съдържание на амоняк"", ""Съдържа важни хранителни вещества и приблизително 60% органично вещество"", ""Добре разтворими и без прах гранули с отличен модел на разпръскване"", ""Може да се използва през всички сезони, с изключение на случаи на замръзване на земята"", ""Перфектен универсален тор за растения и активатор на почвата""]"
