GID,short_description
gid://shopify/Product/15448928584004,"[""Förbättrar jordstrukturen och jordens bördighet"", ""NPK 2-2-3, rik på magnesium, kalcium, humussyror och fulvosyror"", ""Extra tillsatta mineraler och spårämnen från lavamjöl"", ""Tillverkad av 100% ren kogödsel"", ""Nästan luktfri tack vare hygienisering och 100% fri från ogräsfrön"", ""Patogenfri; inga patogener, oönskade mögel eller bakterier"", ""Konstant gödslingseffekt genom långtidsverkande pellets > 120 dagar"", ""Minimal urlakning av mineralämnen tack vare hög organisk halt av bundet kväve"", ""Ingen bladbränning tack vare mycket lågt ammoniakinnehåll"", ""Innehåller viktiga näringsämnen och cirka 60% organiskt material"", ""Lättlösliga och dammfria pellets med utmärkt spridningsmönster"", ""Användbar under alla årstider, utom vid markfrost"", ""Perfekt allround växtgödsel och jordaktivator""]"
gid://shopify/Product/15448928616772,"[""Förbättrar jordstrukturen och jordens bördighet"", ""NPK 2-2-3, rik på magnesium, kalcium, humussyror och fulvosyror"", ""Extra tillsatta mineraler och spårämnen från lavamjöl"", ""Tillverkad av 100% ren kogödsel"", ""Nästan luktfri tack vare hygienisering och 100% fri från ogräsfrön"", ""Patogenfri; inga patogener, oönskade mögel eller bakterier"", ""Konstant gödslingseffekt genom långtidsverkande pellets > 120 dagar"", ""Minimal urlakning av mineralämnen tack vare hög organisk halt av bundet kväve"", ""Ingen bladbränning tack vare mycket lågt ammoniakinnehåll"", ""Innehåller viktiga näringsämnen och cirka 60% organiskt material"", ""Lättlösliga och dammfria pellets med utmärkt spridningsmönster"", ""Användbar under alla årstider, utom vid markfrost"", ""Perfekt allround växtgödsel och jordaktivator""]"
gid://shopify/Product/15448928649540,"[""Förbättrar jordstrukturen och jordens bördighet"", ""NPK 2-2-3, rik på magnesium, kalcium, humussyror och fulvosyror"", ""Extra tillsatta mineraler och spårämnen från lavamjöl"", ""Tillverkad av 100% ren kogödsel"", ""Nästan luktfri tack vare hygienisering och 100% fri från ogräsfrön"", ""Patogenfri; inga patogener, oönskade mögel eller bakterier"", ""Konstant gödslingseffekt genom långtidsverkande pellets > 120 dagar"", ""Minimal urlakning av mineralämnen tack vare hög organisk halt av bundet kväve"", ""Ingen bladbränning tack vare mycket lågt ammoniakinnehåll"", ""Innehåller viktiga näringsämnen och cirka 60% organiskt material"", ""Lättlösliga och dammfria pellets med utmärkt spridningsmönster"", ""Användbar under alla årstider, utom vid markfrost"", ""Perfekt allround växtgödsel och jordaktivator""]"
gid://shopify/Product/15448928682308,"[""Förbättrar jordstrukturen och jordens bördighet"", ""NPK 2-2-3, rik på magnesium, kalcium, humussyror och fulvosyror"", ""Extra tillsatta mineraler och spårämnen från lavamjöl"", ""Tillverkad av 100% ren kogödsel"", ""Nästan luktfri tack vare hygienisering och 100% fri från ogräsfrön"", ""Patogenfri; inga patogener, oönskade mögel eller bakterier"", ""Konstant gödslingseffekt genom långtidsverkande pellets > 120 dagar"", ""Minimal urlakning av mineralämnen tack vare hög organisk halt av bundet kväve"", ""Ingen bladbränning tack vare mycket lågt ammoniakinnehåll"", ""Innehåller viktiga näringsämnen och cirka 60% organiskt material"", ""Lättlösliga och dammfria pellets med utmärkt spridningsmönster"", ""Användbar under alla årstider, utom vid markfrost"", ""Perfekt allround växtgödsel och jordaktivator""]"
gid://shopify/Product/15448937169220,"[""Förbättrar jordstrukturen och jordens bördighet"", ""NPK 2-2-3, rik på magnesium, kalcium, humussyror och fulvosyror"", ""Extra tillsatta mineraler och spårämnen från lavamjöl"", ""Tillverkad av 100% ren kogödsel"", ""Nästan luktfri tack vare hygienisering och 100% fri från ogräsfrön"", ""Patogenfri; inga patogener, oönskade mögel eller bakterier"", ""Konstant gödslingseffekt genom långtidsverkande pellets > 120 dagar"", ""Minimal urlakning av mineralämnen tack vare hög organisk halt av bundet kväve"", ""Ingen bladbränning tack vare mycket lågt ammoniakinnehåll"", ""Innehåller viktiga näringsämnen och cirka 60% organiskt material"", ""Lättlösliga och dammfria pellets med utmärkt spridningsmönster"", ""Användbar under alla årstider, utom vid markfrost"", ""Perfekt allround växtgödsel och jordaktivator""]"
gid://shopify/Product/15448937234756,"[""Förbättrar jordstrukturen och jordens bördighet"", ""NPK 2-2-3, rik på magnesium, kalcium, humussyror och fulvosyror"", ""Extra tillsatta mineraler och spårämnen från lavamjöl"", ""Tillverkad av 100% ren kogödsel"", ""Nästan luktfri tack vare hygienisering och 100% fri från ogräsfrön"", ""Patogenfri; inga patogener, oönskade mögel eller bakterier"", ""Konstant gödslingseffekt genom långtidsverkande pellets > 120 dagar"", ""Minimal urlakning av mineralämnen tack vare hög organisk halt av bundet kväve"", ""Ingen bladbränning tack vare mycket lågt ammoniakinnehåll"", ""Innehåller viktiga näringsämnen och cirka 60% organiskt material"", ""Lättlösliga och dammfria pellets med utmärkt spridningsmönster"", ""Användbar under alla årstider, utom vid markfrost"", ""Perfekt allround växtgödsel och jordaktivator""]"
gid://shopify/Product/15448937300292,"[""Sammansatt organisk-mineralgödsel NPK 9-2-7"", ""Gödsel lämplig för hästbeten"", ""Även mycket lämplig för får-, get- och hobbydjursbeten"", ""Resulterar i högkvalitativt och smakligt gräs/foder"", ""Främjar en hälsosam och strukturerad skörd"", ""Förbättrar jordstrukturen och fungerar som jordaktivator"", ""Konsekvent tillväxt genom långtidsverkande mikrogranulat med en varaktighet på över 120 dagar"", ""Gör gräset mer motståndskraftigt mot torka, sjukdomar och stress"", ""Gödseln tränger snabbt ner i jorden och förhindrar konsumtion av djur"", ""Användbar under alla årstider, utom vid markfrost"", ""Tillsatta mineraler och spårämnen från vulkanisk aska"", ""Perfekt allt-i-ett-gödsel för betesmarker""]"
gid://shopify/Product/15448937333060,"[""Sammansatt organisk-mineralgödsel NPK (Mg) 6-2-12 (+2)"", ""Starkt gräs på vintern, vackra resultat synliga fram till våren"", ""Resulterar i en stark, mörkgrön gräsmatta"", ""Ökar motståndskraften mot torka, frost, sjukdomar och skadedjur"", ""Förbättrar jordstrukturen och främjar positivt jordliv"", ""Kontinuerlig näringstillförsel genom långtidsverkande granulat > 100 dagar"", ""Universellt tillämpbar – påverkar inte jordens pH"", ""Utmärkt spridningsmönster med dammfria mikrogranulat"", ""Undertrycker oönskad mossa och ogräs"", ""Höstgödsel Allt-i-ett är berikad med växtförstärkare""]"
gid://shopify/Product/15448938643780,"[""Förbättrar jordstrukturen och jordens bördighet"", ""NPK 2-2-3, rik på magnesium, kalcium, humussyror och fulvosyror"", ""Extra tillsatta mineraler och spårämnen från lavamjöl"", ""Tillverkad av 100% ren kogödsel"", ""Nästan luktfri tack vare hygienisering och 100% fri från ogräsfrön"", ""Patogenfri; inga patogener, oönskade mögel eller bakterier"", ""Konstant gödslingseffekt genom långtidsverkande pellets > 120 dagar"", ""Minimal urlakning av mineralämnen tack vare hög organisk halt av bundet kväve"", ""Ingen bladbränning tack vare mycket lågt ammoniakinnehåll"", ""Innehåller viktiga näringsämnen och cirka 60% organiskt material"", ""Lättlösliga och dammfria pellets med utmärkt spridningsmönster"", ""Användbar under alla årstider, utom vid markfrost"", ""Perfekt allround växtgödsel och jordaktivator""]"
gid://shopify/Product/15448939725124,"[""Förbättrar jordstrukturen och jordens bördighet"", ""NPK 2-2-3, rik på magnesium, kalcium, humussyror och fulvosyror"", ""Extra tillsatta mineraler och spårämnen från lavamjöl"", ""Tillverkad av 100% ren kogödsel"", ""Nästan luktfri tack vare hygienisering och 100% fri från ogräsfrön"", ""Patogenfri; inga patogener, oönskade mögel eller bakterier"", ""Konstant gödslingseffekt genom långtidsverkande pellets > 120 dagar"", ""Minimal urlakning av mineralämnen tack vare hög organisk halt av bundet kväve"", ""Ingen bladbränning tack vare mycket lågt ammoniakinnehåll"", ""Innehåller viktiga näringsämnen och cirka 60% organiskt material"", ""Lättlösliga och dammfria pellets med utmärkt spridningsmönster"", ""Användbar under alla årstider, utom vid markfrost"", ""Perfekt allround växtgödsel och jordaktivator""]"
