GID,short_description
gid://shopify/Product/15448928584004,"[""Javítja a talajszerkezetet és a talaj termékenységét"", ""NPK 2-2-3, gazdag magnéziumban, kalciumban, huminsavakban és fulvinsavakban"", ""Kiegészített ásványi anyagok és nyomelemek a lava lisztből"", ""100% tiszta tehéntrágyából készült"", ""Szinte szagtalan a higiénizálás miatt, és 100%-ban mentes gyommagoktól"", ""Kórokozóktól mentes; nincsenek kórokozók, nem kívánt penészgombák vagy baktériumok"", ""Folyamatos trágyázási hatás lassú felszabadulású pellet formájában > 120 nap"", ""Minimális ásványi anyagok kimosódása a kötött nitrogén magas szerves tartalma miatt"", ""Nincs levélégés a nagyon alacsony ammóniatartalom miatt"", ""Fontos tápanyagokat tartalmaz, és körülbelül 60% szerves anyagot"", ""Jól oldódó és pormentes pellet, kiváló szórási mintával"", ""Minden évszakban használható, kivéve fagyos talaj esetén"", ""Tökéletes általános növényi trágya és talajaktivátor""]"
gid://shopify/Product/15448928616772,"[""Javítja a talajszerkezetet és a talaj termékenységét"", ""NPK 2-2-3, gazdag magnéziumban, kalciumban, huminsavakban és fulvinsavakban"", ""Kiegészített ásványi anyagok és nyomelemek a lava lisztből"", ""100% tiszta tehéntrágyából készült"", ""Szinte szagtalan a higiénizálás miatt, és 100%-ban mentes gyommagoktól"", ""Kórokozóktól mentes; nincsenek kórokozók, nem kívánt penészgombák vagy baktériumok"", ""Folyamatos trágyázási hatás lassú felszabadulású pellet formájában > 120 nap"", ""Minimális ásványi anyagok kimosódása a kötött nitrogén magas szerves tartalma miatt"", ""Nincs levélégés a nagyon alacsony ammóniatartalom miatt"", ""Fontos tápanyagokat tartalmaz, és körülbelül 60% szerves anyagot"", ""Jól oldódó és pormentes pellet, kiváló szórási mintával"", ""Minden évszakban használható, kivéve fagyos talaj esetén"", ""Tökéletes általános növényi trágya és talajaktivátor""]"
gid://shopify/Product/15448928649540,"[""Javítja a talajszerkezetet és a talaj termékenységét"", ""NPK 2-2-3, gazdag magnéziumban, kalciumban, huminsavakban és fulvinsavakban"", ""Kiegészített ásványi anyagok és nyomelemek a lava lisztből"", ""100% tiszta tehéntrágyából készült"", ""Szinte szagtalan a higiénizálás miatt, és 100%-ban mentes gyommagoktól"", ""Kórokozóktól mentes; nincsenek kórokozók, nem kívánt penészgombák vagy baktériumok"", ""Folyamatos trágyázási hatás lassú felszabadulású pellet formájában > 120 nap"", ""Minimális ásványi anyagok kimosódása a kötött nitrogén magas szerves tartalma miatt"", ""Nincs levélégés a nagyon alacsony ammóniatartalom miatt"", ""Fontos tápanyagokat tartalmaz, és körülbelül 60% szerves anyagot"", ""Jól oldódó és pormentes pellet, kiváló szórási mintával"", ""Minden évszakban használható, kivéve fagyos talaj esetén"", ""Tökéletes általános növényi trágya és talajaktivátor""]"
gid://shopify/Product/15448928682308,"[""Javítja a talajszerkezetet és a talaj termékenységét"", ""NPK 2-2-3, gazdag magnéziumban, kalciumban, huminsavakban és fulvinsavakban"", ""Kiegészített ásványi anyagok és nyomelemek a lava lisztből"", ""100% tiszta tehéntrágyából készült"", ""Szinte szagtalan a higiénizálás miatt, és 100%-ban mentes gyommagoktól"", ""Kórokozóktól mentes; nincsenek kórokozók, nem kívánt penészgombák vagy baktériumok"", ""Folyamatos trágyázási hatás lassú felszabadulású pellet formájában > 120 nap"", ""Minimális ásványi anyagok kimosódása a kötött nitrogén magas szerves tartalma miatt"", ""Nincs levélégés a nagyon alacsony ammóniatartalom miatt"", ""Fontos tápanyagokat tartalmaz, és körülbelül 60% szerves anyagot"", ""Jól oldódó és pormentes pellet, kiváló szórási mintával"", ""Minden évszakban használható, kivéve fagyos talaj esetén"", ""Tökéletes általános növényi trágya és talajaktivátor""]"
gid://shopify/Product/15448937169220,"[""Javítja a talajszerkezetet és a talaj termékenységét"", ""NPK 2-2-3, gazdag magnéziumban, kalciumban, huminsavakban és fulvinsavakban"", ""Kiegészített ásványi anyagok és nyomelemek a lava lisztből"", ""100% tiszta tehéntrágyából készült"", ""Szinte szagtalan a higiénizálás miatt, és 100%-ban mentes gyommagoktól"", ""Kórokozóktól mentes; nincsenek kórokozók, nem kívánt penészgombák vagy baktériumok"", ""Folyamatos trágyázási hatás lassú felszabadulású pellet formájában > 120 nap"", ""Minimális ásványi anyagok kimosódása a kötött nitrogén magas szerves tartalma miatt"", ""Nincs levélégés a nagyon alacsony ammóniatartalom miatt"", ""Fontos tápanyagokat tartalmaz, és körülbelül 60% szerves anyagot"", ""Jól oldódó és pormentes pellet, kiváló szórási mintával"", ""Minden évszakban használható, kivéve fagyos talaj esetén"", ""Tökéletes általános növényi trágya és talajaktivátor""]"
gid://shopify/Product/15448937234756,"[""Javítja a talajszerkezetet és a talaj termékenységét"", ""NPK 2-2-3, gazdag magnéziumban, kalciumban, huminsavakban és fulvinsavakban"", ""Kiegészített ásványi anyagok és nyomelemek a lava lisztből"", ""100% tiszta tehéntrágyából készült"", ""Szinte szagtalan a higiénizálás miatt, és 100%-ban mentes gyommagoktól"", ""Kórokozóktól mentes; nincsenek kórokozók, nem kívánt penészgombák vagy baktériumok"", ""Folyamatos trágyázási hatás lassú felszabadulású pellet formájában > 120 nap"", ""Minimális ásványi anyagok kimosódása a kötött nitrogén magas szerves tartalma miatt"", ""Nincs levélégés a nagyon alacsony ammóniatartalom miatt"", ""Fontos tápanyagokat tartalmaz, és körülbelül 60% szerves anyagot"", ""Jól oldódó és pormentes pellet, kiváló szórási mintával"", ""Minden évszakban használható, kivéve fagyos talaj esetén"", ""Tökéletes általános növényi trágya és talajaktivátor""]"
gid://shopify/Product/15448937300292,"[""Keverék organikus-minerális trágyázószer NPK 9-2-7"", ""Trágyázószer, amely alkalmas ló legelők számára"", ""Nagyon alkalmas juhok, kecskék és hobbiállatok legelőihez is"", ""Magas minőségű és ízletes fű/takarmány eredményez"", ""Elősegíti az egészséges és strukturált termést"", ""Javítja a talajszerkezetet és talajaktiválóként működik"", ""Egyenletes növekedés a lassú kibocsátású mikrogolyóknak köszönhetően, több mint 120 napig"", ""Ellenállóbbá teszi a füvet az aszállyal, betegségekkel és stresszel szemben"", ""A trágyázószer gyorsan behatol a talajba, megelőzve az állatok fogyasztását"", ""Bármely évszakban alkalmazható, kivéve fagyott talajon"", ""További ásványi anyagok és nyomelemek vulkáni hamuból"", ""Tökéletes mindent egybe foglaló trágyázószer legelők számára""]"
gid://shopify/Product/15448937333060,"[""Összetett szerves-minerális trágya NPK (Mg) 6-2-12 (+2)"", ""Erős fű télre, szép eredmények láthatók tavasszal is"", ""Erős, sötétzöld gyepet eredményez"", ""Fokozza az ellenállóságot a szárazsággal, fagyokkal, betegségekkel és kártevőkkel szemben"", ""Javítja a talaj szerkezetét és elősegíti a pozitív talajéletet"", ""Folyamatos tápanyagellátás lassan oldódó granulátumokkal > 100 nap"", ""Univerzálisan alkalmazható – nem befolyásolja a talaj pH-értékét"", ""Kiváló szórási mintázat pormentes mikrogranulátumokkal"", ""Meggátolja a nem kívánt moha és gyomok növekedését"", ""Az Őszi Trágya All-In-One növényi erősítőkkel van gazdagítva""]"
gid://shopify/Product/15448938643780,"[""Javítja a talajszerkezetet és a talaj termékenységét"", ""NPK 2-2-3, gazdag magnéziumban, kalciumban, huminsavakban és fulvinsavakban"", ""Kiegészített ásványi anyagok és nyomelemek a lava lisztből"", ""100% tiszta tehéntrágyából készült"", ""Szinte szagtalan a higiénizálás miatt, és 100%-ban mentes gyommagoktól"", ""Kórokozóktól mentes; nincsenek kórokozók, nem kívánt penészgombák vagy baktériumok"", ""Folyamatos trágyázási hatás lassú felszabadulású pellet formájában > 120 nap"", ""Minimális ásványi anyagok kimosódása a kötött nitrogén magas szerves tartalma miatt"", ""Nincs levélégés a nagyon alacsony ammóniatartalom miatt"", ""Fontos tápanyagokat tartalmaz, és körülbelül 60% szerves anyagot"", ""Jól oldódó és pormentes pellet, kiváló szórási mintával"", ""Minden évszakban használható, kivéve fagyos talaj esetén"", ""Tökéletes általános növényi trágya és talajaktivátor""]"
gid://shopify/Product/15448939725124,"[""Javítja a talajszerkezetet és a talaj termékenységét"", ""NPK 2-2-3, gazdag magnéziumban, kalciumban, huminsavakban és fulvinsavakban"", ""Kiegészített ásványi anyagok és nyomelemek a lava lisztből"", ""100% tiszta tehéntrágyából készült"", ""Szinte szagtalan a higiénizálás miatt, és 100%-ban mentes gyommagoktól"", ""Kórokozóktól mentes; nincsenek kórokozók, nem kívánt penészgombák vagy baktériumok"", ""Folyamatos trágyázási hatás lassú felszabadulású pellet formájában > 120 nap"", ""Minimális ásványi anyagok kimosódása a kötött nitrogén magas szerves tartalma miatt"", ""Nincs levélégés a nagyon alacsony ammóniatartalom miatt"", ""Fontos tápanyagokat tartalmaz, és körülbelül 60% szerves anyagot"", ""Jól oldódó és pormentes pellet, kiváló szórási mintával"", ""Minden évszakban használható, kivéve fagyos talaj esetén"", ""Tökéletes általános növényi trágya és talajaktivátor""]"
