GID,short_description
gid://shopify/Product/15448928584004,"[""Izboljšuje strukturo tal in rodovitnost tal"", ""NPK 2-2-3, bogato z magnezijem, kalcijem, huminskimi in fulvinskimi kislinami"", ""Dodani dodatni minerali in elementi v sledovih iz lavine moke"", ""Narejeno iz 100 % čistega kravjega gnoja"", ""Skoraj brez vonja zaradi higienizacije in 100 % brez semen plevela"", ""Brez patogenov; brez patogenov, neželenih plesni ali bakterij"", ""Konstanten gnojilni učinek skozi pelete s počasnim sproščanjem >120 dni"", ""Minimalno izpiranje mineralnih elementov zaradi visoke organske vsebnosti vezanega dušika"", ""Brez opeklin na listih zaradi zelo nizke vsebnosti amonijaka"", ""Vsebuje pomembna hranila in približno 60 % organske snovi"", ""Dobro topni in brez prahu peleti z odličnim vzorcem razprševanja"", ""Uporabno v vseh letnih časih, razen v primeru talne zmrzali"", ""Popolno vsestransko gnojilo za rastline in aktivator tal""]"
gid://shopify/Product/15448928616772,"[""Izboljšuje strukturo tal in rodovitnost tal"", ""NPK 2-2-3, bogato z magnezijem, kalcijem, huminskimi in fulvinskimi kislinami"", ""Dodani dodatni minerali in elementi v sledovih iz lavine moke"", ""Narejeno iz 100 % čistega kravjega gnoja"", ""Skoraj brez vonja zaradi higienizacije in 100 % brez semen plevela"", ""Brez patogenov; brez patogenov, neželenih plesni ali bakterij"", ""Konstanten gnojilni učinek skozi pelete s počasnim sproščanjem >120 dni"", ""Minimalno izpiranje mineralnih elementov zaradi visoke organske vsebnosti vezanega dušika"", ""Brez opeklin na listih zaradi zelo nizke vsebnosti amonijaka"", ""Vsebuje pomembna hranila in približno 60 % organske snovi"", ""Dobro topni in brez prahu peleti z odličnim vzorcem razprševanja"", ""Uporabno v vseh letnih časih, razen v primeru talne zmrzali"", ""Popolno vsestransko gnojilo za rastline in aktivator tal""]"
gid://shopify/Product/15448928649540,"[""Izboljšuje strukturo tal in rodovitnost tal"", ""NPK 2-2-3, bogato z magnezijem, kalcijem, huminskimi in fulvinskimi kislinami"", ""Dodani dodatni minerali in elementi v sledovih iz lavine moke"", ""Narejeno iz 100 % čistega kravjega gnoja"", ""Skoraj brez vonja zaradi higienizacije in 100 % brez semen plevela"", ""Brez patogenov; brez patogenov, neželenih plesni ali bakterij"", ""Konstanten gnojilni učinek skozi pelete s počasnim sproščanjem >120 dni"", ""Minimalno izpiranje mineralnih elementov zaradi visoke organske vsebnosti vezanega dušika"", ""Brez opeklin na listih zaradi zelo nizke vsebnosti amonijaka"", ""Vsebuje pomembna hranila in približno 60 % organske snovi"", ""Dobro topni in brez prahu peleti z odličnim vzorcem razprševanja"", ""Uporabno v vseh letnih časih, razen v primeru talne zmrzali"", ""Popolno vsestransko gnojilo za rastline in aktivator tal""]"
gid://shopify/Product/15448928682308,"[""Izboljšuje strukturo tal in rodovitnost tal"", ""NPK 2-2-3, bogato z magnezijem, kalcijem, huminskimi in fulvinskimi kislinami"", ""Dodani dodatni minerali in elementi v sledovih iz lavine moke"", ""Narejeno iz 100 % čistega kravjega gnoja"", ""Skoraj brez vonja zaradi higienizacije in 100 % brez semen plevela"", ""Brez patogenov; brez patogenov, neželenih plesni ali bakterij"", ""Konstanten gnojilni učinek skozi pelete s počasnim sproščanjem >120 dni"", ""Minimalno izpiranje mineralnih elementov zaradi visoke organske vsebnosti vezanega dušika"", ""Brez opeklin na listih zaradi zelo nizke vsebnosti amonijaka"", ""Vsebuje pomembna hranila in približno 60 % organske snovi"", ""Dobro topni in brez prahu peleti z odličnim vzorcem razprševanja"", ""Uporabno v vseh letnih časih, razen v primeru talne zmrzali"", ""Popolno vsestransko gnojilo za rastline in aktivator tal""]"
gid://shopify/Product/15448937169220,"[""Izboljšuje strukturo tal in rodovitnost tal"", ""NPK 2-2-3, bogato z magnezijem, kalcijem, huminskimi in fulvinskimi kislinami"", ""Dodani dodatni minerali in elementi v sledovih iz lavine moke"", ""Narejeno iz 100 % čistega kravjega gnoja"", ""Skoraj brez vonja zaradi higienizacije in 100 % brez semen plevela"", ""Brez patogenov; brez patogenov, neželenih plesni ali bakterij"", ""Konstanten gnojilni učinek skozi pelete s počasnim sproščanjem >120 dni"", ""Minimalno izpiranje mineralnih elementov zaradi visoke organske vsebnosti vezanega dušika"", ""Brez opeklin na listih zaradi zelo nizke vsebnosti amonijaka"", ""Vsebuje pomembna hranila in približno 60 % organske snovi"", ""Dobro topni in brez prahu peleti z odličnim vzorcem razprševanja"", ""Uporabno v vseh letnih časih, razen v primeru talne zmrzali"", ""Popolno vsestransko gnojilo za rastline in aktivator tal""]"
gid://shopify/Product/15448937234756,"[""Izboljšuje strukturo tal in rodovitnost tal"", ""NPK 2-2-3, bogato z magnezijem, kalcijem, huminskimi in fulvinskimi kislinami"", ""Dodani dodatni minerali in elementi v sledovih iz lavine moke"", ""Narejeno iz 100 % čistega kravjega gnoja"", ""Skoraj brez vonja zaradi higienizacije in 100 % brez semen plevela"", ""Brez patogenov; brez patogenov, neželenih plesni ali bakterij"", ""Konstanten gnojilni učinek skozi pelete s počasnim sproščanjem >120 dni"", ""Minimalno izpiranje mineralnih elementov zaradi visoke organske vsebnosti vezanega dušika"", ""Brez opeklin na listih zaradi zelo nizke vsebnosti amonijaka"", ""Vsebuje pomembna hranila in približno 60 % organske snovi"", ""Dobro topni in brez prahu peleti z odličnim vzorcem razprševanja"", ""Uporabno v vseh letnih časih, razen v primeru talne zmrzali"", ""Popolno vsestransko gnojilo za rastline in aktivator tal""]"
gid://shopify/Product/15448937300292,"[""Sestavljeno organsko-mineralno gnojilo NPK 9-2-7"", ""Gnojilo primerno za konjske pašnike"", ""Zelo primerno tudi za pašnike za ovce, koze in druge hobi živali"", ""Zagotavlja visokokakovostno in okusno travo/krmo"", ""Spodbuja zdravo in strukturirano žetev"", ""Izboljšuje strukturo tal in deluje kot aktivator tal"", ""Enakomerna rast skozi mikrogranule s počasnim sproščanjem, delovanje več kot 120 dni"", ""Povečuje odpornost trave na sušo, bolezni in stres"", ""Gnojilo hitro prodre v tla, kar preprečuje zaužitje pri živalih"", ""Uporabno v vseh letnih časih, razen pri zmrznjenih tleh"", ""Dodani dodatni minerali in elementi v sledovih iz vulkanskega pepela"", ""Popolno vsestransko gnojilo za pašnike""]"
gid://shopify/Product/15448937333060,"[""Sestavljeno organsko-mineralno gnojilo NPK (Mg) 6-2-12 (+2)"", ""Močna trava pozimi, lepi rezultati vidni vse do pomladi"", ""Rezultat je močna, temno zelena trata"", ""Povečuje odpornost proti suši, zmrzali, boleznim in škodljivcem"", ""Izboljšuje strukturo tal in spodbuja pozitivno življenje v tleh"", ""Neprekinjena oskrba s hranili s peleti s počasnim sproščanjem > 100 dni"", ""Univerzalno uporabno – ne vpliva na pH tal"", ""Odlična razporeditev brez prahu z mikrogranulami"", ""Zmanjšuje rast nezaželenega mahu in plevela"", ""Jesensko gnojilo All-In-One je obogateno z ojačevalci rastlin""]"
gid://shopify/Product/15448938643780,"[""Izboljšuje strukturo tal in rodovitnost tal"", ""NPK 2-2-3, bogato z magnezijem, kalcijem, huminskimi in fulvinskimi kislinami"", ""Dodani dodatni minerali in elementi v sledovih iz lavine moke"", ""Narejeno iz 100 % čistega kravjega gnoja"", ""Skoraj brez vonja zaradi higienizacije in 100 % brez semen plevela"", ""Brez patogenov; brez patogenov, neželenih plesni ali bakterij"", ""Konstanten gnojilni učinek skozi pelete s počasnim sproščanjem >120 dni"", ""Minimalno izpiranje mineralnih elementov zaradi visoke organske vsebnosti vezanega dušika"", ""Brez opeklin na listih zaradi zelo nizke vsebnosti amonijaka"", ""Vsebuje pomembna hranila in približno 60 % organske snovi"", ""Dobro topni in brez prahu peleti z odličnim vzorcem razprševanja"", ""Uporabno v vseh letnih časih, razen v primeru talne zmrzali"", ""Popolno vsestransko gnojilo za rastline in aktivator tal""]"
gid://shopify/Product/15448939725124,"[""Izboljšuje strukturo tal in rodovitnost tal"", ""NPK 2-2-3, bogato z magnezijem, kalcijem, huminskimi in fulvinskimi kislinami"", ""Dodani dodatni minerali in elementi v sledovih iz lavine moke"", ""Narejeno iz 100 % čistega kravjega gnoja"", ""Skoraj brez vonja zaradi higienizacije in 100 % brez semen plevela"", ""Brez patogenov; brez patogenov, neželenih plesni ali bakterij"", ""Konstanten gnojilni učinek skozi pelete s počasnim sproščanjem >120 dni"", ""Minimalno izpiranje mineralnih elementov zaradi visoke organske vsebnosti vezanega dušika"", ""Brez opeklin na listih zaradi zelo nizke vsebnosti amonijaka"", ""Vsebuje pomembna hranila in približno 60 % organske snovi"", ""Dobro topni in brez prahu peleti z odličnim vzorcem razprševanja"", ""Uporabno v vseh letnih časih, razen v primeru talne zmrzali"", ""Popolno vsestransko gnojilo za rastline in aktivator tal""]"
