GID,short_description
gid://shopify/Product/15448928584004,"[""Poboljšava strukturu tla i plodnost tla"", ""NPK 2-2-3, bogato magnezijem, kalcijem, huminskim i fulvinskim kiselinama"", ""Dodatni minerali i elementi u tragovima iz lava brašna"", ""Izrađeno od 100% čistog goveđeg stajnjaka"", ""Gotovo bez mirisa zbog higijenizacije i 100% bez sjemenki korova"", ""Bez patogena; nema štetnih mikroorganizama, neželjenih plijesni ili bakterija"", ""Stalni učinak gnojenja kroz pelete sa sporim otpuštanjem >120 dana"", ""Minimalno ispiranje minerala zbog visokog organskog sadržaja vezanog dušika"", ""Nema opasnosti od opeklina na listovima zbog vrlo niskog sadržaja amonijaka"", ""Sadrži važne hranjive tvari i oko 60% organske tvari"", ""Dobro topljivi i bez prašine s odličnim uzorkom raspršivanja"", ""Upotrebljivo u svim sezonama, osim u slučaju mraza u tlu"", ""Savršeno univerzalno gnojivo za biljke i aktivator tla""]"
gid://shopify/Product/15448928616772,"[""Poboljšava strukturu tla i plodnost tla"", ""NPK 2-2-3, bogato magnezijem, kalcijem, huminskim i fulvinskim kiselinama"", ""Dodatni minerali i elementi u tragovima iz lava brašna"", ""Izrađeno od 100% čistog goveđeg stajnjaka"", ""Gotovo bez mirisa zbog higijenizacije i 100% bez sjemenki korova"", ""Bez patogena; nema štetnih mikroorganizama, neželjenih plijesni ili bakterija"", ""Stalni učinak gnojenja kroz pelete sa sporim otpuštanjem >120 dana"", ""Minimalno ispiranje minerala zbog visokog organskog sadržaja vezanog dušika"", ""Nema opasnosti od opeklina na listovima zbog vrlo niskog sadržaja amonijaka"", ""Sadrži važne hranjive tvari i oko 60% organske tvari"", ""Dobro topljivi i bez prašine s odličnim uzorkom raspršivanja"", ""Upotrebljivo u svim sezonama, osim u slučaju mraza u tlu"", ""Savršeno univerzalno gnojivo za biljke i aktivator tla""]"
gid://shopify/Product/15448928649540,"[""Poboljšava strukturu tla i plodnost tla"", ""NPK 2-2-3, bogato magnezijem, kalcijem, huminskim i fulvinskim kiselinama"", ""Dodatni minerali i elementi u tragovima iz lava brašna"", ""Izrađeno od 100% čistog goveđeg stajnjaka"", ""Gotovo bez mirisa zbog higijenizacije i 100% bez sjemenki korova"", ""Bez patogena; nema štetnih mikroorganizama, neželjenih plijesni ili bakterija"", ""Stalni učinak gnojenja kroz pelete sa sporim otpuštanjem >120 dana"", ""Minimalno ispiranje minerala zbog visokog organskog sadržaja vezanog dušika"", ""Nema opasnosti od opeklina na listovima zbog vrlo niskog sadržaja amonijaka"", ""Sadrži važne hranjive tvari i oko 60% organske tvari"", ""Dobro topljivi i bez prašine s odličnim uzorkom raspršivanja"", ""Upotrebljivo u svim sezonama, osim u slučaju mraza u tlu"", ""Savršeno univerzalno gnojivo za biljke i aktivator tla""]"
gid://shopify/Product/15448928682308,"[""Poboljšava strukturu tla i plodnost tla"", ""NPK 2-2-3, bogato magnezijem, kalcijem, huminskim i fulvinskim kiselinama"", ""Dodatni minerali i elementi u tragovima iz lava brašna"", ""Izrađeno od 100% čistog goveđeg stajnjaka"", ""Gotovo bez mirisa zbog higijenizacije i 100% bez sjemenki korova"", ""Bez patogena; nema štetnih mikroorganizama, neželjenih plijesni ili bakterija"", ""Stalni učinak gnojenja kroz pelete sa sporim otpuštanjem >120 dana"", ""Minimalno ispiranje minerala zbog visokog organskog sadržaja vezanog dušika"", ""Nema opasnosti od opeklina na listovima zbog vrlo niskog sadržaja amonijaka"", ""Sadrži važne hranjive tvari i oko 60% organske tvari"", ""Dobro topljivi i bez prašine s odličnim uzorkom raspršivanja"", ""Upotrebljivo u svim sezonama, osim u slučaju mraza u tlu"", ""Savršeno univerzalno gnojivo za biljke i aktivator tla""]"
gid://shopify/Product/15448937169220,"[""Poboljšava strukturu tla i plodnost tla"", ""NPK 2-2-3, bogato magnezijem, kalcijem, huminskim i fulvinskim kiselinama"", ""Dodatni minerali i elementi u tragovima iz lava brašna"", ""Izrađeno od 100% čistog goveđeg stajnjaka"", ""Gotovo bez mirisa zbog higijenizacije i 100% bez sjemenki korova"", ""Bez patogena; nema štetnih mikroorganizama, neželjenih plijesni ili bakterija"", ""Stalni učinak gnojenja kroz pelete sa sporim otpuštanjem >120 dana"", ""Minimalno ispiranje minerala zbog visokog organskog sadržaja vezanog dušika"", ""Nema opasnosti od opeklina na listovima zbog vrlo niskog sadržaja amonijaka"", ""Sadrži važne hranjive tvari i oko 60% organske tvari"", ""Dobro topljivi i bez prašine s odličnim uzorkom raspršivanja"", ""Upotrebljivo u svim sezonama, osim u slučaju mraza u tlu"", ""Savršeno univerzalno gnojivo za biljke i aktivator tla""]"
gid://shopify/Product/15448937234756,"[""Poboljšava strukturu tla i plodnost tla"", ""NPK 2-2-3, bogato magnezijem, kalcijem, huminskim i fulvinskim kiselinama"", ""Dodatni minerali i elementi u tragovima iz lava brašna"", ""Izrađeno od 100% čistog goveđeg stajnjaka"", ""Gotovo bez mirisa zbog higijenizacije i 100% bez sjemenki korova"", ""Bez patogena; nema štetnih mikroorganizama, neželjenih plijesni ili bakterija"", ""Stalni učinak gnojenja kroz pelete sa sporim otpuštanjem >120 dana"", ""Minimalno ispiranje minerala zbog visokog organskog sadržaja vezanog dušika"", ""Nema opasnosti od opeklina na listovima zbog vrlo niskog sadržaja amonijaka"", ""Sadrži važne hranjive tvari i oko 60% organske tvari"", ""Dobro topljivi i bez prašine s odličnim uzorkom raspršivanja"", ""Upotrebljivo u svim sezonama, osim u slučaju mraza u tlu"", ""Savršeno univerzalno gnojivo za biljke i aktivator tla""]"
gid://shopify/Product/15448937300292,"[""Složeno organsko-mineralno gnojivo NPK 9-2-7"", ""Gnojivo pogodno za konjske pašnjake"", ""Također vrlo pogodno za pašnjake za ovce, koze i hobi životinje"", ""Rezultira visokokvalitetnom i ukusnom travom/krmom"", ""Potiče zdrave i strukturirane usjeve"", ""Poboljšava strukturu tla i djeluje kao aktivator tla"", ""Kontinuirani rast zahvaljujući sporootpuštajućim mikrogranulama s trajanjem od preko 120 dana"", ""Čini travu otpornijom na sušu, bolesti i stres"", ""Gnojivo brzo prodire u tlo, sprečavajući konzumaciju od strane životinja"", ""Primjenjivo u bilo koje godišnje doba, osim tijekom smrzavanja tla"", ""Dodani dodatni minerali i elementi u tragovima iz vulkanskog pepela"", ""Savršeno all-in-one gnojivo za pašnjake""]"
gid://shopify/Product/15448937333060,"[""Složeno organsko-mineralno gnojivo NPK (Mg) 6-2-12 (+2)"", ""Snažna trava zimi, vidljivi rezultati do proljeća"", ""Osigurava snažan, tamnozeleni travnjak"", ""Povećava otpornost na sušu, mraz, bolesti i štetnike"", ""Poboljšava strukturu tla i potiče pozitivni život tla"", ""Kontinuirana opskrba hranjivim tvarima kroz sporootpuštajuće granule > 100 dana"", ""Univerzalno primjenjivo – ne utječe na pH tla"", ""Izvrsna pokrivenost s mikrogranulama bez prašine"", ""Suzbija neželjeni rast mahovine i korova"", ""Jesensko Gnojivo All-In-One obogaćeno je pojačivačima biljaka""]"
gid://shopify/Product/15448938643780,"[""Poboljšava strukturu tla i plodnost tla"", ""NPK 2-2-3, bogato magnezijem, kalcijem, huminskim i fulvinskim kiselinama"", ""Dodatni minerali i elementi u tragovima iz lava brašna"", ""Izrađeno od 100% čistog goveđeg stajnjaka"", ""Gotovo bez mirisa zbog higijenizacije i 100% bez sjemenki korova"", ""Bez patogena; nema štetnih mikroorganizama, neželjenih plijesni ili bakterija"", ""Stalni učinak gnojenja kroz pelete sa sporim otpuštanjem >120 dana"", ""Minimalno ispiranje minerala zbog visokog organskog sadržaja vezanog dušika"", ""Nema opasnosti od opeklina na listovima zbog vrlo niskog sadržaja amonijaka"", ""Sadrži važne hranjive tvari i oko 60% organske tvari"", ""Dobro topljivi i bez prašine s odličnim uzorkom raspršivanja"", ""Upotrebljivo u svim sezonama, osim u slučaju mraza u tlu"", ""Savršeno univerzalno gnojivo za biljke i aktivator tla""]"
gid://shopify/Product/15448939725124,"[""Poboljšava strukturu tla i plodnost tla"", ""NPK 2-2-3, bogato magnezijem, kalcijem, huminskim i fulvinskim kiselinama"", ""Dodatni minerali i elementi u tragovima iz lava brašna"", ""Izrađeno od 100% čistog goveđeg stajnjaka"", ""Gotovo bez mirisa zbog higijenizacije i 100% bez sjemenki korova"", ""Bez patogena; nema štetnih mikroorganizama, neželjenih plijesni ili bakterija"", ""Stalni učinak gnojenja kroz pelete sa sporim otpuštanjem >120 dana"", ""Minimalno ispiranje minerala zbog visokog organskog sadržaja vezanog dušika"", ""Nema opasnosti od opeklina na listovima zbog vrlo niskog sadržaja amonijaka"", ""Sadrži važne hranjive tvari i oko 60% organske tvari"", ""Dobro topljivi i bez prašine s odličnim uzorkom raspršivanja"", ""Upotrebljivo u svim sezonama, osim u slučaju mraza u tlu"", ""Savršeno univerzalno gnojivo za biljke i aktivator tla""]"
