GID,short_description
gid://shopify/Product/15448928584004,"[""Melhora a estrutura e a fertilidade do solo"", ""NPK 2-2-3, rico em magnésio, cálcio, ácidos húmicos e ácidos fúlvicos"", ""Minerais e oligoelementos adicionais provenientes de farinha de lava"", ""Produzido a partir de 100% puro estrume de vaca"", ""Praticamente inodoro devido à sanitização e 100% livre de sementes de ervas daninhas"", ""Livre de patógenos; sem germes, fungos indesejados ou bactérias"", ""Libertação constante de nutrientes através de grânulos de libertação lenta > 120 dias"", ""Mínima lixiviação de elementos minerais devido ao alto teor orgânico de azoto ligado"", ""Sem risco de queimadura nas folhas devido ao teor muito baixo de amoníaco"", ""Contém nutrientes importantes e aproximadamente 60% de matéria orgânica"", ""Grânulos facilmente solúveis e sem poeira, com excelente padrão de dispersão"", ""Aplicável em todas as estações, exceto quando há geada no solo"", ""Fertilizante versátil perfeito para paisagismo e ativador de solo""]"
gid://shopify/Product/15448928616772,"[""Melhora a estrutura e a fertilidade do solo"", ""NPK 2-2-3, rico em magnésio, cálcio, ácidos húmicos e ácidos fúlvicos"", ""Minerais e oligoelementos adicionais provenientes de farinha de lava"", ""Produzido a partir de 100% puro estrume de vaca"", ""Praticamente inodoro devido à sanitização e 100% livre de sementes de ervas daninhas"", ""Livre de patógenos; sem germes, fungos indesejados ou bactérias"", ""Libertação constante de nutrientes através de grânulos de libertação lenta > 120 dias"", ""Mínima lixiviação de elementos minerais devido ao alto teor orgânico de azoto ligado"", ""Sem risco de queimadura nas folhas devido ao teor muito baixo de amoníaco"", ""Contém nutrientes importantes e aproximadamente 60% de matéria orgânica"", ""Grânulos facilmente solúveis e sem poeira, com excelente padrão de dispersão"", ""Aplicável em todas as estações, exceto quando há geada no solo"", ""Fertilizante versátil perfeito para paisagismo e ativador de solo""]"
gid://shopify/Product/15448928649540,"[""Melhora a estrutura e a fertilidade do solo"", ""NPK 2-2-3, rico em magnésio, cálcio, ácidos húmicos e ácidos fúlvicos"", ""Minerais e oligoelementos adicionais provenientes de farinha de lava"", ""Produzido a partir de 100% puro estrume de vaca"", ""Praticamente inodoro devido à sanitização e 100% livre de sementes de ervas daninhas"", ""Livre de patógenos; sem germes, fungos indesejados ou bactérias"", ""Libertação constante de nutrientes através de grânulos de libertação lenta > 120 dias"", ""Mínima lixiviação de elementos minerais devido ao alto teor orgânico de azoto ligado"", ""Sem risco de queimadura nas folhas devido ao teor muito baixo de amoníaco"", ""Contém nutrientes importantes e aproximadamente 60% de matéria orgânica"", ""Grânulos facilmente solúveis e sem poeira, com excelente padrão de dispersão"", ""Aplicável em todas as estações, exceto quando há geada no solo"", ""Fertilizante versátil perfeito para paisagismo e ativador de solo""]"
gid://shopify/Product/15448928682308,"[""Melhora a estrutura e a fertilidade do solo"", ""NPK 2-2-3, rico em magnésio, cálcio, ácidos húmicos e ácidos fúlvicos"", ""Minerais e oligoelementos adicionais provenientes de farinha de lava"", ""Produzido a partir de 100% puro estrume de vaca"", ""Praticamente inodoro devido à sanitização e 100% livre de sementes de ervas daninhas"", ""Livre de patógenos; sem germes, fungos indesejados ou bactérias"", ""Libertação constante de nutrientes através de grânulos de libertação lenta > 120 dias"", ""Mínima lixiviação de elementos minerais devido ao alto teor orgânico de azoto ligado"", ""Sem risco de queimadura nas folhas devido ao teor muito baixo de amoníaco"", ""Contém nutrientes importantes e aproximadamente 60% de matéria orgânica"", ""Grânulos facilmente solúveis e sem poeira, com excelente padrão de dispersão"", ""Aplicável em todas as estações, exceto quando há geada no solo"", ""Fertilizante versátil perfeito para paisagismo e ativador de solo""]"
gid://shopify/Product/15448937169220,"[""Melhora a estrutura e a fertilidade do solo"", ""NPK 2-2-3, rico em magnésio, cálcio, ácidos húmicos e ácidos fúlvicos"", ""Minerais e oligoelementos adicionais provenientes de farinha de lava"", ""Produzido a partir de 100% puro estrume de vaca"", ""Praticamente inodoro devido à sanitização e 100% livre de sementes de ervas daninhas"", ""Livre de patógenos; sem germes, fungos indesejados ou bactérias"", ""Libertação constante de nutrientes através de grânulos de libertação lenta > 120 dias"", ""Mínima lixiviação de elementos minerais devido ao alto teor orgânico de azoto ligado"", ""Sem risco de queimadura nas folhas devido ao teor muito baixo de amoníaco"", ""Contém nutrientes importantes e aproximadamente 60% de matéria orgânica"", ""Grânulos facilmente solúveis e sem poeira, com excelente padrão de dispersão"", ""Aplicável em todas as estações, exceto quando há geada no solo"", ""Fertilizante versátil perfeito para paisagismo e ativador de solo""]"
gid://shopify/Product/15448937234756,"[""Melhora a estrutura e a fertilidade do solo"", ""NPK 2-2-3, rico em magnésio, cálcio, ácidos húmicos e ácidos fúlvicos"", ""Minerais e oligoelementos adicionais provenientes de farinha de lava"", ""Produzido a partir de 100% puro estrume de vaca"", ""Praticamente inodoro devido à sanitização e 100% livre de sementes de ervas daninhas"", ""Livre de patógenos; sem germes, fungos indesejados ou bactérias"", ""Libertação constante de nutrientes através de grânulos de libertação lenta > 120 dias"", ""Mínima lixiviação de elementos minerais devido ao alto teor orgânico de azoto ligado"", ""Sem risco de queimadura nas folhas devido ao teor muito baixo de amoníaco"", ""Contém nutrientes importantes e aproximadamente 60% de matéria orgânica"", ""Grânulos facilmente solúveis e sem poeira, com excelente padrão de dispersão"", ""Aplicável em todas as estações, exceto quando há geada no solo"", ""Fertilizante versátil perfeito para paisagismo e ativador de solo""]"
gid://shopify/Product/15448937300292,"[""Fertilizante orgânico-mineral composto NPK 9-2-7"", ""Fertilizante adequado para pastagens de cavalos"", ""Também altamente adequado para pastagens de ovelhas, cabras e animais de estimação"", ""Resulta em relva/alimentação de alta qualidade e saborosa"", ""Promove uma colheita saudável e estruturada"", ""Melhora a estrutura do solo e atua como um ativador de solo"", ""Crescimento consistente através de microgrânulos de libertação lenta com duração superior a 120 dias"", ""Torna a relva mais resistente à seca, doenças e stress"", ""O fertilizante penetra rapidamente no solo, evitando o consumo pelos animais"", ""Aplicável em qualquer estação, exceto durante geadas no solo"", ""Minerais e oligoelementos adicionais provenientes de cinza vulcânica"", ""Fertilizante perfeito e tudo-em-um para pastagens""]"
gid://shopify/Product/15448937333060,"[""Fertilizante orgânico-mineral composto NPK (Mg) 6-2-12 (+2)"", ""Relva forte no inverno, com resultados visíveis até à primavera"", ""Resulta num relvado forte e verde-escuro"", ""Aumenta a resiliência contra seca, geada, doenças e pragas"", ""Melhora a estrutura do solo e promove a vida positiva do solo"", ""Fornecimento contínuo de nutrientes através de grânulos de libertação lenta > 100 dias"", ""Aplicação universal – não afeta o pH do solo"", ""Excelente padrão de dispersão com microgrânulos sem poeira"", ""Suprime o crescimento indesejado de musgo e ervas daninhas"", ""O Fertilizante de Outono All-In-One é enriquecido com fortalecedores de plantas""]"
gid://shopify/Product/15448938643780,"[""Melhora a estrutura e a fertilidade do solo"", ""NPK 2-2-3, rico em magnésio, cálcio, ácidos húmicos e ácidos fúlvicos"", ""Minerais e oligoelementos adicionais provenientes de farinha de lava"", ""Produzido a partir de 100% puro estrume de vaca"", ""Praticamente inodoro devido à sanitização e 100% livre de sementes de ervas daninhas"", ""Livre de patógenos; sem germes, fungos indesejados ou bactérias"", ""Libertação constante de nutrientes através de grânulos de libertação lenta > 120 dias"", ""Mínima lixiviação de elementos minerais devido ao alto teor orgânico de azoto ligado"", ""Sem risco de queimadura nas folhas devido ao teor muito baixo de amoníaco"", ""Contém nutrientes importantes e aproximadamente 60% de matéria orgânica"", ""Grânulos facilmente solúveis e sem poeira, com excelente padrão de dispersão"", ""Aplicável em todas as estações, exceto quando há geada no solo"", ""Fertilizante versátil perfeito para paisagismo e ativador de solo""]"
gid://shopify/Product/15448939725124,"[""Melhora a estrutura e a fertilidade do solo"", ""NPK 2-2-3, rico em magnésio, cálcio, ácidos húmicos e ácidos fúlvicos"", ""Minerais e oligoelementos adicionais provenientes de farinha de lava"", ""Produzido a partir de 100% puro estrume de vaca"", ""Praticamente inodoro devido à sanitização e 100% livre de sementes de ervas daninhas"", ""Livre de patógenos; sem germes, fungos indesejados ou bactérias"", ""Libertação constante de nutrientes através de grânulos de libertação lenta > 120 dias"", ""Mínima lixiviação de elementos minerais devido ao alto teor orgânico de azoto ligado"", ""Sem risco de queimadura nas folhas devido ao teor muito baixo de amoníaco"", ""Contém nutrientes importantes e aproximadamente 60% de matéria orgânica"", ""Grânulos facilmente solúveis e sem poeira, com excelente padrão de dispersão"", ""Aplicável em todas as estações, exceto quando há geada no solo"", ""Fertilizante versátil perfeito para paisagismo e ativador de solo""]"
