GID,short_description
gid://shopify/Product/15448928584004,"[""Poprawia strukturę i żyzność gleby"", ""NPK 2-2-3, bogaty w magnez, wapń, kwasy huminowe i fulwowe"", ""Dodatkowe minerały i mikroelementy z mączki lawowej"", ""Wyprodukowany z 100% czystego obornika krowiego"", ""Praktycznie bezwonny dzięki sanitacji i 100% wolny od nasion chwastów"", ""Wolny od patogenów; brak zarazków, niechcianych grzybów czy bakterii"", ""Stałe uwalnianie składników odżywczych dzięki granulatom o wolnym uwalnianiu > 120 dni"", ""Minimalne wypłukiwanie składników mineralnych dzięki wysokiej zawartości organicznie związanego azotu"", ""Brak poparzeń liści dzięki bardzo niskiej zawartości amoniaku"", ""Zawiera ważne składniki odżywcze i około 60% materii organicznej"", ""Łatwo rozpuszczalne i bezpyłowe granulki z doskonałym wzorem rozprowadzania"", ""Stosowalny we wszystkich porach roku, z wyjątkiem okresu przymrozków"", ""Idealny wszechstronny nawóz do kształtowania krajobrazu i aktywator gleby""]"
gid://shopify/Product/15448928616772,"[""Poprawia strukturę i żyzność gleby"", ""NPK 2-2-3, bogaty w magnez, wapń, kwasy huminowe i fulwowe"", ""Dodatkowe minerały i mikroelementy z mączki lawowej"", ""Wyprodukowany z 100% czystego obornika krowiego"", ""Praktycznie bezwonny dzięki sanitacji i 100% wolny od nasion chwastów"", ""Wolny od patogenów; brak zarazków, niechcianych grzybów czy bakterii"", ""Stałe uwalnianie składników odżywczych dzięki granulatom o wolnym uwalnianiu > 120 dni"", ""Minimalne wypłukiwanie składników mineralnych dzięki wysokiej zawartości organicznie związanego azotu"", ""Brak poparzeń liści dzięki bardzo niskiej zawartości amoniaku"", ""Zawiera ważne składniki odżywcze i około 60% materii organicznej"", ""Łatwo rozpuszczalne i bezpyłowe granulki z doskonałym wzorem rozprowadzania"", ""Stosowalny we wszystkich porach roku, z wyjątkiem okresu przymrozków"", ""Idealny wszechstronny nawóz do kształtowania krajobrazu i aktywator gleby""]"
gid://shopify/Product/15448928649540,"[""Poprawia strukturę i żyzność gleby"", ""NPK 2-2-3, bogaty w magnez, wapń, kwasy huminowe i fulwowe"", ""Dodatkowe minerały i mikroelementy z mączki lawowej"", ""Wyprodukowany z 100% czystego obornika krowiego"", ""Praktycznie bezwonny dzięki sanitacji i 100% wolny od nasion chwastów"", ""Wolny od patogenów; brak zarazków, niechcianych grzybów czy bakterii"", ""Stałe uwalnianie składników odżywczych dzięki granulatom o wolnym uwalnianiu > 120 dni"", ""Minimalne wypłukiwanie składników mineralnych dzięki wysokiej zawartości organicznie związanego azotu"", ""Brak poparzeń liści dzięki bardzo niskiej zawartości amoniaku"", ""Zawiera ważne składniki odżywcze i około 60% materii organicznej"", ""Łatwo rozpuszczalne i bezpyłowe granulki z doskonałym wzorem rozprowadzania"", ""Stosowalny we wszystkich porach roku, z wyjątkiem okresu przymrozków"", ""Idealny wszechstronny nawóz do kształtowania krajobrazu i aktywator gleby""]"
gid://shopify/Product/15448928682308,"[""Poprawia strukturę i żyzność gleby"", ""NPK 2-2-3, bogaty w magnez, wapń, kwasy huminowe i fulwowe"", ""Dodatkowe minerały i mikroelementy z mączki lawowej"", ""Wyprodukowany z 100% czystego obornika krowiego"", ""Praktycznie bezwonny dzięki sanitacji i 100% wolny od nasion chwastów"", ""Wolny od patogenów; brak zarazków, niechcianych grzybów czy bakterii"", ""Stałe uwalnianie składników odżywczych dzięki granulatom o wolnym uwalnianiu > 120 dni"", ""Minimalne wypłukiwanie składników mineralnych dzięki wysokiej zawartości organicznie związanego azotu"", ""Brak poparzeń liści dzięki bardzo niskiej zawartości amoniaku"", ""Zawiera ważne składniki odżywcze i około 60% materii organicznej"", ""Łatwo rozpuszczalne i bezpyłowe granulki z doskonałym wzorem rozprowadzania"", ""Stosowalny we wszystkich porach roku, z wyjątkiem okresu przymrozków"", ""Idealny wszechstronny nawóz do kształtowania krajobrazu i aktywator gleby""]"
gid://shopify/Product/15448937169220,"[""Poprawia strukturę i żyzność gleby"", ""NPK 2-2-3, bogaty w magnez, wapń, kwasy huminowe i fulwowe"", ""Dodatkowe minerały i mikroelementy z mączki lawowej"", ""Wyprodukowany z 100% czystego obornika krowiego"", ""Praktycznie bezwonny dzięki sanitacji i 100% wolny od nasion chwastów"", ""Wolny od patogenów; brak zarazków, niechcianych grzybów czy bakterii"", ""Stałe uwalnianie składników odżywczych dzięki granulatom o wolnym uwalnianiu > 120 dni"", ""Minimalne wypłukiwanie składników mineralnych dzięki wysokiej zawartości organicznie związanego azotu"", ""Brak poparzeń liści dzięki bardzo niskiej zawartości amoniaku"", ""Zawiera ważne składniki odżywcze i około 60% materii organicznej"", ""Łatwo rozpuszczalne i bezpyłowe granulki z doskonałym wzorem rozprowadzania"", ""Stosowalny we wszystkich porach roku, z wyjątkiem okresu przymrozków"", ""Idealny wszechstronny nawóz do kształtowania krajobrazu i aktywator gleby""]"
gid://shopify/Product/15448937234756,"[""Poprawia strukturę i żyzność gleby"", ""NPK 2-2-3, bogaty w magnez, wapń, kwasy huminowe i fulwowe"", ""Dodatkowe minerały i mikroelementy z mączki lawowej"", ""Wyprodukowany z 100% czystego obornika krowiego"", ""Praktycznie bezwonny dzięki sanitacji i 100% wolny od nasion chwastów"", ""Wolny od patogenów; brak zarazków, niechcianych grzybów czy bakterii"", ""Stałe uwalnianie składników odżywczych dzięki granulatom o wolnym uwalnianiu > 120 dni"", ""Minimalne wypłukiwanie składników mineralnych dzięki wysokiej zawartości organicznie związanego azotu"", ""Brak poparzeń liści dzięki bardzo niskiej zawartości amoniaku"", ""Zawiera ważne składniki odżywcze i około 60% materii organicznej"", ""Łatwo rozpuszczalne i bezpyłowe granulki z doskonałym wzorem rozprowadzania"", ""Stosowalny we wszystkich porach roku, z wyjątkiem okresu przymrozków"", ""Idealny wszechstronny nawóz do kształtowania krajobrazu i aktywator gleby""]"
gid://shopify/Product/15448937300292,"[""Złożony nawóz organiczno-mineralny NPK 9-2-7"", ""Nawóz odpowiedni dla pastwisk koni"", ""Również bardzo odpowiedni dla pastwisk owiec, kóz i zwierząt hodowlanych"", ""Skutkuje wysokiej jakości i smaczną trawą/paszą"", ""Promuje zdrowe i uporządkowane plony"", ""Poprawia strukturę gleby i działa jako aktywator gleby"", ""Stały wzrost dzięki mikrogranulkom o wolnym uwalnianiu o czasie działania ponad 120 dni"", ""Sprawia, że trawa jest bardziej odporna na suszę, choroby i stres"", ""Nawóz szybko wnika w glebę, zapobiegając spożyciu przez zwierzęta"", ""Stosowalny w każdej porze roku, z wyjątkiem okresu przymrozków"", ""Dodatkowe minerały i mikroelementy dodane z popiołu wulkanicznego"", ""Doskonały nawóz wszystko-w-jednym dla pastwisk""]"
gid://shopify/Product/15448937333060,"[""Złożony nawóz organiczno-mineralny NPK (Mg) 6-2-12 (+2)"", ""Mocna trawa zimą, piękne rezultaty widoczne aż do wiosny"", ""Rezultat to mocny, ciemnozielony trawnik"", ""Zwiększa odporność na suszę, mróz, choroby i szkodniki"", ""Poprawia strukturę gleby i stymuluje pozytywne życie glebowe"", ""Ciągłe dostarczanie składników odżywczych dzięki granulatom o wolnym uwalnianiu > 100 dni"", ""Uniwersalne zastosowanie – nie wpływa na pH gleby"", ""Doskonały wzór rozprowadzania dzięki bezpyłowym mikrogranulkom"", ""Hamuje niechciany wzrost mchu i chwastów"", ""Nawóz jesienny All-In-One jest wzbogacony o wzmacniacze roślin""]"
gid://shopify/Product/15448938643780,"[""Poprawia strukturę i żyzność gleby"", ""NPK 2-2-3, bogaty w magnez, wapń, kwasy huminowe i fulwowe"", ""Dodatkowe minerały i mikroelementy z mączki lawowej"", ""Wyprodukowany z 100% czystego obornika krowiego"", ""Praktycznie bezwonny dzięki sanitacji i 100% wolny od nasion chwastów"", ""Wolny od patogenów; brak zarazków, niechcianych grzybów czy bakterii"", ""Stałe uwalnianie składników odżywczych dzięki granulatom o wolnym uwalnianiu > 120 dni"", ""Minimalne wypłukiwanie składników mineralnych dzięki wysokiej zawartości organicznie związanego azotu"", ""Brak poparzeń liści dzięki bardzo niskiej zawartości amoniaku"", ""Zawiera ważne składniki odżywcze i około 60% materii organicznej"", ""Łatwo rozpuszczalne i bezpyłowe granulki z doskonałym wzorem rozprowadzania"", ""Stosowalny we wszystkich porach roku, z wyjątkiem okresu przymrozków"", ""Idealny wszechstronny nawóz do kształtowania krajobrazu i aktywator gleby""]"
gid://shopify/Product/15448939725124,"[""Poprawia strukturę i żyzność gleby"", ""NPK 2-2-3, bogaty w magnez, wapń, kwasy huminowe i fulwowe"", ""Dodatkowe minerały i mikroelementy z mączki lawowej"", ""Wyprodukowany z 100% czystego obornika krowiego"", ""Praktycznie bezwonny dzięki sanitacji i 100% wolny od nasion chwastów"", ""Wolny od patogenów; brak zarazków, niechcianych grzybów czy bakterii"", ""Stałe uwalnianie składników odżywczych dzięki granulatom o wolnym uwalnianiu > 120 dni"", ""Minimalne wypłukiwanie składników mineralnych dzięki wysokiej zawartości organicznie związanego azotu"", ""Brak poparzeń liści dzięki bardzo niskiej zawartości amoniaku"", ""Zawiera ważne składniki odżywcze i około 60% materii organicznej"", ""Łatwo rozpuszczalne i bezpyłowe granulki z doskonałym wzorem rozprowadzania"", ""Stosowalny we wszystkich porach roku, z wyjątkiem okresu przymrozków"", ""Idealny wszechstronny nawóz do kształtowania krajobrazu i aktywator gleby""]"
