GID,short_description
gid://shopify/Product/15448928584004,"[""Verbessert die Bodenstruktur und die Bodenfruchtbarkeit"", ""NPK 2-2-3, reich an Magnesium, Kalzium, Huminsäuren und Fulvosäuren"", ""Extra zugesetzte Mineralien und Spurenelemente aus Lavamehl"", ""Hergestellt aus 100 % reinem Kuhmist"", ""Nahezu geruchlos durch Hygienisierung und 100 % frei von Unkrautsamen"", ""Pathogenfrei; keine Krankheitserreger, unerwünschte Schimmelpilze oder Bakterien"", ""Konstante Düngewirkung durch Slow-Release-Pellets > 120 Tage"", ""Minimale Ausspülung von Mineralelementen aufgrund des hohen organischen Gehalts an gebundenem Stickstoff"", ""Kein Verbrennen der Blätter durch sehr geringen Ammoniakgehalt"", ""Enthält wichtige Nährstoffe und ca. 60 % organische Stoffe"", ""Gut lösliche und staubfreie Pellets mit hervorragendem Streubild"", ""Anwendbar in allen Jahreszeiten, außer bei Bodenfrost"", ""Perfekter Allround-Pflanzdünger und Bodenaktivator""]"
gid://shopify/Product/15448928616772,"[""Verbessert die Bodenstruktur und die Bodenfruchtbarkeit"", ""NPK 2-2-3, reich an Magnesium, Kalzium, Huminsäuren und Fulvosäuren"", ""Extra zugesetzte Mineralien und Spurenelemente aus Lavamehl"", ""Hergestellt aus 100 % reinem Kuhmist"", ""Nahezu geruchlos durch Hygienisierung und 100 % frei von Unkrautsamen"", ""Pathogenfrei; keine Krankheitserreger, unerwünschte Schimmelpilze oder Bakterien"", ""Konstante Düngewirkung durch Slow-Release-Pellets > 120 Tage"", ""Minimale Ausspülung von Mineralelementen aufgrund des hohen organischen Gehalts an gebundenem Stickstoff"", ""Kein Verbrennen der Blätter durch sehr geringen Ammoniakgehalt"", ""Enthält wichtige Nährstoffe und ca. 60 % organische Stoffe"", ""Gut lösliche und staubfreie Pellets mit hervorragendem Streubild"", ""Anwendbar in allen Jahreszeiten, außer bei Bodenfrost"", ""Perfekter Allround-Pflanzdünger und Bodenaktivator""]"
gid://shopify/Product/15448928649540,"[""Verbessert die Bodenstruktur und die Bodenfruchtbarkeit"", ""NPK 2-2-3, reich an Magnesium, Kalzium, Huminsäuren und Fulvosäuren"", ""Extra zugesetzte Mineralien und Spurenelemente aus Lavamehl"", ""Hergestellt aus 100 % reinem Kuhmist"", ""Nahezu geruchlos durch Hygienisierung und 100 % frei von Unkrautsamen"", ""Pathogenfrei; keine Krankheitserreger, unerwünschte Schimmelpilze oder Bakterien"", ""Konstante Düngewirkung durch Slow-Release-Pellets > 120 Tage"", ""Minimale Ausspülung von Mineralelementen aufgrund des hohen organischen Gehalts an gebundenem Stickstoff"", ""Kein Verbrennen der Blätter durch sehr geringen Ammoniakgehalt"", ""Enthält wichtige Nährstoffe und ca. 60 % organische Stoffe"", ""Gut lösliche und staubfreie Pellets mit hervorragendem Streubild"", ""Anwendbar in allen Jahreszeiten, außer bei Bodenfrost"", ""Perfekter Allround-Pflanzdünger und Bodenaktivator""]"
gid://shopify/Product/15448928682308,"[""Verbessert die Bodenstruktur und die Bodenfruchtbarkeit"", ""NPK 2-2-3, reich an Magnesium, Kalzium, Huminsäuren und Fulvosäuren"", ""Extra zugesetzte Mineralien und Spurenelemente aus Lavamehl"", ""Hergestellt aus 100 % reinem Kuhmist"", ""Nahezu geruchlos durch Hygienisierung und 100 % frei von Unkrautsamen"", ""Pathogenfrei; keine Krankheitserreger, unerwünschte Schimmelpilze oder Bakterien"", ""Konstante Düngewirkung durch Slow-Release-Pellets > 120 Tage"", ""Minimale Ausspülung von Mineralelementen aufgrund des hohen organischen Gehalts an gebundenem Stickstoff"", ""Kein Verbrennen der Blätter durch sehr geringen Ammoniakgehalt"", ""Enthält wichtige Nährstoffe und ca. 60 % organische Stoffe"", ""Gut lösliche und staubfreie Pellets mit hervorragendem Streubild"", ""Anwendbar in allen Jahreszeiten, außer bei Bodenfrost"", ""Perfekter Allround-Pflanzdünger und Bodenaktivator""]"
gid://shopify/Product/15448937169220,"[""Verbessert die Bodenstruktur und die Bodenfruchtbarkeit"", ""NPK 2-2-3, reich an Magnesium, Kalzium, Huminsäuren und Fulvosäuren"", ""Extra zugesetzte Mineralien und Spurenelemente aus Lavamehl"", ""Hergestellt aus 100 % reinem Kuhmist"", ""Nahezu geruchlos durch Hygienisierung und 100 % frei von Unkrautsamen"", ""Pathogenfrei; keine Krankheitserreger, unerwünschte Schimmelpilze oder Bakterien"", ""Konstante Düngewirkung durch Slow-Release-Pellets > 120 Tage"", ""Minimale Ausspülung von Mineralelementen aufgrund des hohen organischen Gehalts an gebundenem Stickstoff"", ""Kein Verbrennen der Blätter durch sehr geringen Ammoniakgehalt"", ""Enthält wichtige Nährstoffe und ca. 60 % organische Stoffe"", ""Gut lösliche und staubfreie Pellets mit hervorragendem Streubild"", ""Anwendbar in allen Jahreszeiten, außer bei Bodenfrost"", ""Perfekter Allround-Pflanzdünger und Bodenaktivator""]"
gid://shopify/Product/15448937234756,"[""Verbessert die Bodenstruktur und die Bodenfruchtbarkeit"", ""NPK 2-2-3, reich an Magnesium, Kalzium, Huminsäuren und Fulvosäuren"", ""Extra zugesetzte Mineralien und Spurenelemente aus Lavamehl"", ""Hergestellt aus 100 % reinem Kuhmist"", ""Nahezu geruchlos durch Hygienisierung und 100 % frei von Unkrautsamen"", ""Pathogenfrei; keine Krankheitserreger, unerwünschte Schimmelpilze oder Bakterien"", ""Konstante Düngewirkung durch Slow-Release-Pellets > 120 Tage"", ""Minimale Ausspülung von Mineralelementen aufgrund des hohen organischen Gehalts an gebundenem Stickstoff"", ""Kein Verbrennen der Blätter durch sehr geringen Ammoniakgehalt"", ""Enthält wichtige Nährstoffe und ca. 60 % organische Stoffe"", ""Gut lösliche und staubfreie Pellets mit hervorragendem Streubild"", ""Anwendbar in allen Jahreszeiten, außer bei Bodenfrost"", ""Perfekter Allround-Pflanzdünger und Bodenaktivator""]"
gid://shopify/Product/15448937300292,"[""Zusammengesetzter organisch-mineralischer Dünger NPK 9-2-7"", ""Dünger geeignet für Pferdeweiden"", ""Ebenfalls sehr geeignet für Schaf-, Ziegen- und Hobbytierweiden"", ""Resultiert in hochwertigem und schmackhaftem Gras/Futter"", ""Für eine gesunde und strukturreiche Ernte"", ""Verbessert die Bodenstruktur und wirkt als Bodenaktivator"", ""Konstantes Wachstum durch slow-release Mikrogranulat mit einer Wirkungsdauer von mehr als 120 Tagen"", ""Macht Gras widerstandsfähiger gegen Dürre, Krankheiten und Belastungen"", ""Der Dünger dringt schnell in den Boden ein, wodurch eine Aufnahme durch Tiere verhindert wird"", ""Anwendbar in jeder Jahreszeit, außer bei Frost im Boden"", ""Zusätzliche Mineralien und Spurenelemente aus Lavamehl hinzugefügt"", ""Perfekter All-in-One-Dünger für Weiden""]"
gid://shopify/Product/15448937333060,"[""Organisch-mineralischer Mehrnährstoffdünger NPK (Mg) 6-2-12 (+2)"", ""Kräftiges Gras im Winter, schönes Ergebnis bis zum Frühjahr sichtbar"", ""Sorgt für eine kräftige, dunkelgrüne Grasnarbe"", ""Erhöht die Widerstandsfähigkeit gegen Trockenheit, Frost, Krankheiten und Schädlinge"", ""Verbessert die Bodenstruktur und stimuliert ein positives Bodenleben"", ""Konstante Düngewirkung durch Slow-Release-Granulat > 100 Tage"", ""Universell einsetzbar - beeinträchtigt nicht den Säuregehalt des Bodens"", ""Hervorragendes Streubild durch staubfreies Mikrogranulat"", ""Hemmt unerwünschtes Moos- und Unkrautwachstum"", ""Herbstdünger All-In-One enthält Pflanzenstärkungsmittel""]"
gid://shopify/Product/15448938643780,"[""Verbessert die Bodenstruktur und die Bodenfruchtbarkeit"", ""NPK 2-2-3, reich an Magnesium, Kalzium, Huminsäuren und Fulvosäuren"", ""Extra zugesetzte Mineralien und Spurenelemente aus Lavamehl"", ""Hergestellt aus 100 % reinem Kuhmist"", ""Nahezu geruchlos durch Hygienisierung und 100 % frei von Unkrautsamen"", ""Pathogenfrei; keine Krankheitserreger, unerwünschte Schimmelpilze oder Bakterien"", ""Konstante Düngewirkung durch Slow-Release-Pellets > 120 Tage"", ""Minimale Ausspülung von Mineralelementen aufgrund des hohen organischen Gehalts an gebundenem Stickstoff"", ""Kein Verbrennen der Blätter durch sehr geringen Ammoniakgehalt"", ""Enthält wichtige Nährstoffe und ca. 60 % organische Stoffe"", ""Gut lösliche und staubfreie Pellets mit hervorragendem Streubild"", ""Anwendbar in allen Jahreszeiten, außer bei Bodenfrost"", ""Perfekter Allround-Pflanzdünger und Bodenaktivator""]"
gid://shopify/Product/15448939725124,"[""Verbessert die Bodenstruktur und die Bodenfruchtbarkeit"", ""NPK 2-2-3, reich an Magnesium, Kalzium, Huminsäuren und Fulvosäuren"", ""Extra zugesetzte Mineralien und Spurenelemente aus Lavamehl"", ""Hergestellt aus 100 % reinem Kuhmist"", ""Nahezu geruchlos durch Hygienisierung und 100 % frei von Unkrautsamen"", ""Pathogenfrei; keine Krankheitserreger, unerwünschte Schimmelpilze oder Bakterien"", ""Konstante Düngewirkung durch Slow-Release-Pellets > 120 Tage"", ""Minimale Ausspülung von Mineralelementen aufgrund des hohen organischen Gehalts an gebundenem Stickstoff"", ""Kein Verbrennen der Blätter durch sehr geringen Ammoniakgehalt"", ""Enthält wichtige Nährstoffe und ca. 60 % organische Stoffe"", ""Gut lösliche und staubfreie Pellets mit hervorragendem Streubild"", ""Anwendbar in allen Jahreszeiten, außer bei Bodenfrost"", ""Perfekter Allround-Pflanzdünger und Bodenaktivator""]"
