GID,short_description
gid://shopify/Product/15448928584004,"[""Parantaa maaperän rakennetta ja hedelmällisyyttä"", ""NPK 2-2-3, sisältää runsaasti magnesiumia, kalsiumia, humushappoja ja fulvohappoja"", ""Lisätty ylimääräisiä mineraaleja ja hivenaineita laavakivijauheesta"", ""Valmistettu 100 % puhtaasta lehmänlannasta"", ""Lähes hajuton hygienisoinnin ansiosta ja 100 % rikkaruohonsiemenistä vapaa"", ""Patogeeniton; ei patogeenejä, ei ei-toivottuja homeita tai bakteereja"", ""Tasainen lannoitusvaikutus hitaasti vapautuvilla rakeilla > 120 päivää"", ""Minimoi mineraalielementtien huuhtoutumisen korkean orgaanisen aineksen ansiosta"", ""Ei lehtien palamista alhaisen ammoniakkipitoisuuden vuoksi"", ""Sisältää tärkeitä ravinteita ja noin 60 % orgaanista ainesta"", ""Hyvin liukenevat ja pölyttömät rakeet, joilla on erinomainen levitysmalli"", ""Soveltuu käytettäväksi kaikissa vuodenaikoina, paitsi maan ollessa jäässä"", ""Täydellinen yleislannoite ja maaperän aktivaattori""]"
gid://shopify/Product/15448928616772,"[""Parantaa maaperän rakennetta ja hedelmällisyyttä"", ""NPK 2-2-3, sisältää runsaasti magnesiumia, kalsiumia, humushappoja ja fulvohappoja"", ""Lisätty ylimääräisiä mineraaleja ja hivenaineita laavakivijauheesta"", ""Valmistettu 100 % puhtaasta lehmänlannasta"", ""Lähes hajuton hygienisoinnin ansiosta ja 100 % rikkaruohonsiemenistä vapaa"", ""Patogeeniton; ei patogeenejä, ei ei-toivottuja homeita tai bakteereja"", ""Tasainen lannoitusvaikutus hitaasti vapautuvilla rakeilla > 120 päivää"", ""Minimoi mineraalielementtien huuhtoutumisen korkean orgaanisen aineksen ansiosta"", ""Ei lehtien palamista alhaisen ammoniakkipitoisuuden vuoksi"", ""Sisältää tärkeitä ravinteita ja noin 60 % orgaanista ainesta"", ""Hyvin liukenevat ja pölyttömät rakeet, joilla on erinomainen levitysmalli"", ""Soveltuu käytettäväksi kaikissa vuodenaikoina, paitsi maan ollessa jäässä"", ""Täydellinen yleislannoite ja maaperän aktivaattori""]"
gid://shopify/Product/15448928649540,"[""Parantaa maaperän rakennetta ja hedelmällisyyttä"", ""NPK 2-2-3, sisältää runsaasti magnesiumia, kalsiumia, humushappoja ja fulvohappoja"", ""Lisätty ylimääräisiä mineraaleja ja hivenaineita laavakivijauheesta"", ""Valmistettu 100 % puhtaasta lehmänlannasta"", ""Lähes hajuton hygienisoinnin ansiosta ja 100 % rikkaruohonsiemenistä vapaa"", ""Patogeeniton; ei patogeenejä, ei ei-toivottuja homeita tai bakteereja"", ""Tasainen lannoitusvaikutus hitaasti vapautuvilla rakeilla > 120 päivää"", ""Minimoi mineraalielementtien huuhtoutumisen korkean orgaanisen aineksen ansiosta"", ""Ei lehtien palamista alhaisen ammoniakkipitoisuuden vuoksi"", ""Sisältää tärkeitä ravinteita ja noin 60 % orgaanista ainesta"", ""Hyvin liukenevat ja pölyttömät rakeet, joilla on erinomainen levitysmalli"", ""Soveltuu käytettäväksi kaikissa vuodenaikoina, paitsi maan ollessa jäässä"", ""Täydellinen yleislannoite ja maaperän aktivaattori""]"
gid://shopify/Product/15448928682308,"[""Parantaa maaperän rakennetta ja hedelmällisyyttä"", ""NPK 2-2-3, sisältää runsaasti magnesiumia, kalsiumia, humushappoja ja fulvohappoja"", ""Lisätty ylimääräisiä mineraaleja ja hivenaineita laavakivijauheesta"", ""Valmistettu 100 % puhtaasta lehmänlannasta"", ""Lähes hajuton hygienisoinnin ansiosta ja 100 % rikkaruohonsiemenistä vapaa"", ""Patogeeniton; ei patogeenejä, ei ei-toivottuja homeita tai bakteereja"", ""Tasainen lannoitusvaikutus hitaasti vapautuvilla rakeilla > 120 päivää"", ""Minimoi mineraalielementtien huuhtoutumisen korkean orgaanisen aineksen ansiosta"", ""Ei lehtien palamista alhaisen ammoniakkipitoisuuden vuoksi"", ""Sisältää tärkeitä ravinteita ja noin 60 % orgaanista ainesta"", ""Hyvin liukenevat ja pölyttömät rakeet, joilla on erinomainen levitysmalli"", ""Soveltuu käytettäväksi kaikissa vuodenaikoina, paitsi maan ollessa jäässä"", ""Täydellinen yleislannoite ja maaperän aktivaattori""]"
gid://shopify/Product/15448937169220,"[""Parantaa maaperän rakennetta ja hedelmällisyyttä"", ""NPK 2-2-3, sisältää runsaasti magnesiumia, kalsiumia, humushappoja ja fulvohappoja"", ""Lisätty ylimääräisiä mineraaleja ja hivenaineita laavakivijauheesta"", ""Valmistettu 100 % puhtaasta lehmänlannasta"", ""Lähes hajuton hygienisoinnin ansiosta ja 100 % rikkaruohonsiemenistä vapaa"", ""Patogeeniton; ei patogeenejä, ei ei-toivottuja homeita tai bakteereja"", ""Tasainen lannoitusvaikutus hitaasti vapautuvilla rakeilla > 120 päivää"", ""Minimoi mineraalielementtien huuhtoutumisen korkean orgaanisen aineksen ansiosta"", ""Ei lehtien palamista alhaisen ammoniakkipitoisuuden vuoksi"", ""Sisältää tärkeitä ravinteita ja noin 60 % orgaanista ainesta"", ""Hyvin liukenevat ja pölyttömät rakeet, joilla on erinomainen levitysmalli"", ""Soveltuu käytettäväksi kaikissa vuodenaikoina, paitsi maan ollessa jäässä"", ""Täydellinen yleislannoite ja maaperän aktivaattori""]"
gid://shopify/Product/15448937234756,"[""Parantaa maaperän rakennetta ja hedelmällisyyttä"", ""NPK 2-2-3, sisältää runsaasti magnesiumia, kalsiumia, humushappoja ja fulvohappoja"", ""Lisätty ylimääräisiä mineraaleja ja hivenaineita laavakivijauheesta"", ""Valmistettu 100 % puhtaasta lehmänlannasta"", ""Lähes hajuton hygienisoinnin ansiosta ja 100 % rikkaruohonsiemenistä vapaa"", ""Patogeeniton; ei patogeenejä, ei ei-toivottuja homeita tai bakteereja"", ""Tasainen lannoitusvaikutus hitaasti vapautuvilla rakeilla > 120 päivää"", ""Minimoi mineraalielementtien huuhtoutumisen korkean orgaanisen aineksen ansiosta"", ""Ei lehtien palamista alhaisen ammoniakkipitoisuuden vuoksi"", ""Sisältää tärkeitä ravinteita ja noin 60 % orgaanista ainesta"", ""Hyvin liukenevat ja pölyttömät rakeet, joilla on erinomainen levitysmalli"", ""Soveltuu käytettäväksi kaikissa vuodenaikoina, paitsi maan ollessa jäässä"", ""Täydellinen yleislannoite ja maaperän aktivaattori""]"
gid://shopify/Product/15448937300292,"[""Yhdistetty orgaanis-mineraalilannoite NPK 9-2-7"", ""Sopii erinomaisesti hevospelloille"", ""Soveltuu myös hyvin lampaiden, vuohien ja harrastuseläinten laidunmaille"", ""Tuloksena korkealaatuinen ja maukas ruoho/rehu"", ""Edistää terveellistä ja rakenteellista satoa"", ""Parantaa maaperän rakennetta ja toimii maaperän aktivaattorina"", ""Tasainen kasvu hitaasti vapautuvien mikrogranulaattien ansiosta, vaikutusaika yli 120 päivää"", ""Tekee ruohosta kestävämpää kuivuutta, tauteja ja stressiä vastaan"", ""Lannoite imeytyy nopeasti maahan, mikä estää eläimiä syömästä sitä"", ""Soveltuu käytettäväksi kaikissa vuodenajoissa, paitsi maan ollessa jäässä"", ""Sisältää ylimääräisiä mineraaleja ja hivenaineita vulkaanisesta tuhkasta"", ""Täydellinen Kaikki-Yhdessä-lannoite laidunmaille""]"
gid://shopify/Product/15448937333060,"[""Yhdistetty orgaanis-mineraalilannoite NPK (Mg) 6-2-12 (+2)"", ""Vahva nurmikko talvella, kauniit tulokset näkyvät kevääseen saakka"", ""Tuloksena vahva, tummanvihreä nurmikko"", ""Lisää kestävyyttä kuivuutta, pakkasta, tauteja ja tuholaisia vastaan"", ""Parantaa maaperän rakennetta ja edistää positiivista maaperän elämää"", ""Jatkuva ravinnesaanti hitaan vapautumisen rakeiden ansiosta > 100 päivää"", ""Yleisohjelma – ei vaikuta maaperän pH-arvoon"", ""Erinomainen levitysmalli pölyttömillä mikrogranulaateilla"", ""Tukahduttaa ei-toivotun sammalen ja rikkakasvien kasvun"", ""Syksyn Lannoite Kaikki-Yhdessä on rikastettu kasvien vahvistajilla""]"
gid://shopify/Product/15448938643780,"[""Parantaa maaperän rakennetta ja hedelmällisyyttä"", ""NPK 2-2-3, sisältää runsaasti magnesiumia, kalsiumia, humushappoja ja fulvohappoja"", ""Lisätty ylimääräisiä mineraaleja ja hivenaineita laavakivijauheesta"", ""Valmistettu 100 % puhtaasta lehmänlannasta"", ""Lähes hajuton hygienisoinnin ansiosta ja 100 % rikkaruohonsiemenistä vapaa"", ""Patogeeniton; ei patogeenejä, ei ei-toivottuja homeita tai bakteereja"", ""Tasainen lannoitusvaikutus hitaasti vapautuvilla rakeilla > 120 päivää"", ""Minimoi mineraalielementtien huuhtoutumisen korkean orgaanisen aineksen ansiosta"", ""Ei lehtien palamista alhaisen ammoniakkipitoisuuden vuoksi"", ""Sisältää tärkeitä ravinteita ja noin 60 % orgaanista ainesta"", ""Hyvin liukenevat ja pölyttömät rakeet, joilla on erinomainen levitysmalli"", ""Soveltuu käytettäväksi kaikissa vuodenaikoina, paitsi maan ollessa jäässä"", ""Täydellinen yleislannoite ja maaperän aktivaattori""]"
gid://shopify/Product/15448939725124,"[""Parantaa maaperän rakennetta ja hedelmällisyyttä"", ""NPK 2-2-3, sisältää runsaasti magnesiumia, kalsiumia, humushappoja ja fulvohappoja"", ""Lisätty ylimääräisiä mineraaleja ja hivenaineita laavakivijauheesta"", ""Valmistettu 100 % puhtaasta lehmänlannasta"", ""Lähes hajuton hygienisoinnin ansiosta ja 100 % rikkaruohonsiemenistä vapaa"", ""Patogeeniton; ei patogeenejä, ei ei-toivottuja homeita tai bakteereja"", ""Tasainen lannoitusvaikutus hitaasti vapautuvilla rakeilla > 120 päivää"", ""Minimoi mineraalielementtien huuhtoutumisen korkean orgaanisen aineksen ansiosta"", ""Ei lehtien palamista alhaisen ammoniakkipitoisuuden vuoksi"", ""Sisältää tärkeitä ravinteita ja noin 60 % orgaanista ainesta"", ""Hyvin liukenevat ja pölyttömät rakeet, joilla on erinomainen levitysmalli"", ""Soveltuu käytettäväksi kaikissa vuodenaikoina, paitsi maan ollessa jäässä"", ""Täydellinen yleislannoite ja maaperän aktivaattori""]"
