GID,short_description
gid://shopify/Product/15448928584004,"[""Zlepšuje štruktúru pôdy a jej úrodnosť"", ""NPK 2-2-3, bohaté na horčík, vápnik, humínové a fulvové kyseliny"", ""Pridané extra minerály a stopové prvky z lávovej múky"", ""Vyrobené zo 100% čistého kravského hnoja"", ""Takmer bez zápachu vďaka hygienizácii a 100% bez semien buriny"", ""Bez patogénov; bez patogénov, nechcených plesní alebo baktérií"", ""Neustály hnojivý účinok prostredníctvom granúl s pomalým uvoľňovaním >120 dní"", ""Minimálne vyplavovanie minerálnych prvkov vďaka vysokému obsahu organickej hmoty viazanej na dusík"", ""Bez spálenia listov vďaka veľmi nízkemu obsahu amoniaku"", ""Obsahuje dôležité živiny a približne 60% organickej hmoty"", ""Dobre rozpustné a bezprašné granule s vynikajúcim rozptylovým vzorom"", ""Použiteľné v každom ročnom období, okrem mrazivých podmienok"", ""Ideálne univerzálne hnojivo na rastliny a aktivátor pôdy""]"
gid://shopify/Product/15448928616772,"[""Zlepšuje štruktúru pôdy a jej úrodnosť"", ""NPK 2-2-3, bohaté na horčík, vápnik, humínové a fulvové kyseliny"", ""Pridané extra minerály a stopové prvky z lávovej múky"", ""Vyrobené zo 100% čistého kravského hnoja"", ""Takmer bez zápachu vďaka hygienizácii a 100% bez semien buriny"", ""Bez patogénov; bez patogénov, nechcených plesní alebo baktérií"", ""Neustály hnojivý účinok prostredníctvom granúl s pomalým uvoľňovaním >120 dní"", ""Minimálne vyplavovanie minerálnych prvkov vďaka vysokému obsahu organickej hmoty viazanej na dusík"", ""Bez spálenia listov vďaka veľmi nízkemu obsahu amoniaku"", ""Obsahuje dôležité živiny a približne 60% organickej hmoty"", ""Dobre rozpustné a bezprašné granule s vynikajúcim rozptylovým vzorom"", ""Použiteľné v každom ročnom období, okrem mrazivých podmienok"", ""Ideálne univerzálne hnojivo na rastliny a aktivátor pôdy""]"
gid://shopify/Product/15448928649540,"[""Zlepšuje štruktúru pôdy a jej úrodnosť"", ""NPK 2-2-3, bohaté na horčík, vápnik, humínové a fulvové kyseliny"", ""Pridané extra minerály a stopové prvky z lávovej múky"", ""Vyrobené zo 100% čistého kravského hnoja"", ""Takmer bez zápachu vďaka hygienizácii a 100% bez semien buriny"", ""Bez patogénov; bez patogénov, nechcených plesní alebo baktérií"", ""Neustály hnojivý účinok prostredníctvom granúl s pomalým uvoľňovaním >120 dní"", ""Minimálne vyplavovanie minerálnych prvkov vďaka vysokému obsahu organickej hmoty viazanej na dusík"", ""Bez spálenia listov vďaka veľmi nízkemu obsahu amoniaku"", ""Obsahuje dôležité živiny a približne 60% organickej hmoty"", ""Dobre rozpustné a bezprašné granule s vynikajúcim rozptylovým vzorom"", ""Použiteľné v každom ročnom období, okrem mrazivých podmienok"", ""Ideálne univerzálne hnojivo na rastliny a aktivátor pôdy""]"
gid://shopify/Product/15448928682308,"[""Zlepšuje štruktúru pôdy a jej úrodnosť"", ""NPK 2-2-3, bohaté na horčík, vápnik, humínové a fulvové kyseliny"", ""Pridané extra minerály a stopové prvky z lávovej múky"", ""Vyrobené zo 100% čistého kravského hnoja"", ""Takmer bez zápachu vďaka hygienizácii a 100% bez semien buriny"", ""Bez patogénov; bez patogénov, nechcených plesní alebo baktérií"", ""Neustály hnojivý účinok prostredníctvom granúl s pomalým uvoľňovaním >120 dní"", ""Minimálne vyplavovanie minerálnych prvkov vďaka vysokému obsahu organickej hmoty viazanej na dusík"", ""Bez spálenia listov vďaka veľmi nízkemu obsahu amoniaku"", ""Obsahuje dôležité živiny a približne 60% organickej hmoty"", ""Dobre rozpustné a bezprašné granule s vynikajúcim rozptylovým vzorom"", ""Použiteľné v každom ročnom období, okrem mrazivých podmienok"", ""Ideálne univerzálne hnojivo na rastliny a aktivátor pôdy""]"
gid://shopify/Product/15448937169220,"[""Zlepšuje štruktúru pôdy a jej úrodnosť"", ""NPK 2-2-3, bohaté na horčík, vápnik, humínové a fulvové kyseliny"", ""Pridané extra minerály a stopové prvky z lávovej múky"", ""Vyrobené zo 100% čistého kravského hnoja"", ""Takmer bez zápachu vďaka hygienizácii a 100% bez semien buriny"", ""Bez patogénov; bez patogénov, nechcených plesní alebo baktérií"", ""Neustály hnojivý účinok prostredníctvom granúl s pomalým uvoľňovaním >120 dní"", ""Minimálne vyplavovanie minerálnych prvkov vďaka vysokému obsahu organickej hmoty viazanej na dusík"", ""Bez spálenia listov vďaka veľmi nízkemu obsahu amoniaku"", ""Obsahuje dôležité živiny a približne 60% organickej hmoty"", ""Dobre rozpustné a bezprašné granule s vynikajúcim rozptylovým vzorom"", ""Použiteľné v každom ročnom období, okrem mrazivých podmienok"", ""Ideálne univerzálne hnojivo na rastliny a aktivátor pôdy""]"
gid://shopify/Product/15448937234756,"[""Zlepšuje štruktúru pôdy a jej úrodnosť"", ""NPK 2-2-3, bohaté na horčík, vápnik, humínové a fulvové kyseliny"", ""Pridané extra minerály a stopové prvky z lávovej múky"", ""Vyrobené zo 100% čistého kravského hnoja"", ""Takmer bez zápachu vďaka hygienizácii a 100% bez semien buriny"", ""Bez patogénov; bez patogénov, nechcených plesní alebo baktérií"", ""Neustály hnojivý účinok prostredníctvom granúl s pomalým uvoľňovaním >120 dní"", ""Minimálne vyplavovanie minerálnych prvkov vďaka vysokému obsahu organickej hmoty viazanej na dusík"", ""Bez spálenia listov vďaka veľmi nízkemu obsahu amoniaku"", ""Obsahuje dôležité živiny a približne 60% organickej hmoty"", ""Dobre rozpustné a bezprašné granule s vynikajúcim rozptylovým vzorom"", ""Použiteľné v každom ročnom období, okrem mrazivých podmienok"", ""Ideálne univerzálne hnojivo na rastliny a aktivátor pôdy""]"
gid://shopify/Product/15448937300292,"[""Zložené organicko-minerálne hnojivo NPK 9-2-7"", ""Hnojivo vhodné pre konské pastviny"", ""Vysoko vhodné aj pre pastviny pre ovce, kozy a hobby zvieratá"", ""Zabezpečuje kvalitnú a chutnú trávu/kŕmenie"", ""Podporuje zdravú a štruktúrovanú úrodu"", ""Zlepšuje štruktúru pôdy a pôsobí ako pôdny aktivátor"", ""Konzistentný rast vďaka mikrogranulám s pomalým uvoľňovaním s účinkom nad 120 dní"", ""Zvyšuje odolnosť trávy voči suchu, chorobám a stresu"", ""Hnojivo rýchlo preniká do pôdy, čím zabraňuje jeho konzumácii zvieratami"", ""Aplikovateľné v ktoromkoľvek období, okrem zamrznutej pôdy"", ""Pridané ďalšie minerály a stopové prvky z vulkanického popola"", ""Perfektné all-in-one hnojivo pre pastviny""]"
gid://shopify/Product/15448937333060,"[""Kombinované organicko-minerálne hnojivo NPK (Mg) 6-2-12 (+2)"", ""Silná tráva v zime, krásne výsledky viditeľné až do jari"", ""Výsledkom je silný, tmavozelený trávnik"", ""Zvyšuje odolnosť voči suchu, mrazu, chorobám a škodcom"", ""Zlepšuje štruktúru pôdy a podporuje pozitívny pôdny život"", ""Plynulé dodávanie živín prostredníctvom granulí s pomalým uvoľňovaním > 100 dní"", ""Univerzálne použitie – neovplyvňuje pH pôdy"", ""Vynikajúci vzor rozptylu s mikrogranulami bez prachu"", ""Potláča nechcený rast machu a buriny"", ""Jesenné hnojivo All-In-One je obohatené o posilňovače rastlín""]"
gid://shopify/Product/15448938643780,"[""Zlepšuje štruktúru pôdy a jej úrodnosť"", ""NPK 2-2-3, bohaté na horčík, vápnik, humínové a fulvové kyseliny"", ""Pridané extra minerály a stopové prvky z lávovej múky"", ""Vyrobené zo 100% čistého kravského hnoja"", ""Takmer bez zápachu vďaka hygienizácii a 100% bez semien buriny"", ""Bez patogénov; bez patogénov, nechcených plesní alebo baktérií"", ""Neustály hnojivý účinok prostredníctvom granúl s pomalým uvoľňovaním >120 dní"", ""Minimálne vyplavovanie minerálnych prvkov vďaka vysokému obsahu organickej hmoty viazanej na dusík"", ""Bez spálenia listov vďaka veľmi nízkemu obsahu amoniaku"", ""Obsahuje dôležité živiny a približne 60% organickej hmoty"", ""Dobre rozpustné a bezprašné granule s vynikajúcim rozptylovým vzorom"", ""Použiteľné v každom ročnom období, okrem mrazivých podmienok"", ""Ideálne univerzálne hnojivo na rastliny a aktivátor pôdy""]"
gid://shopify/Product/15448939725124,"[""Zlepšuje štruktúru pôdy a jej úrodnosť"", ""NPK 2-2-3, bohaté na horčík, vápnik, humínové a fulvové kyseliny"", ""Pridané extra minerály a stopové prvky z lávovej múky"", ""Vyrobené zo 100% čistého kravského hnoja"", ""Takmer bez zápachu vďaka hygienizácii a 100% bez semien buriny"", ""Bez patogénov; bez patogénov, nechcených plesní alebo baktérií"", ""Neustály hnojivý účinok prostredníctvom granúl s pomalým uvoľňovaním >120 dní"", ""Minimálne vyplavovanie minerálnych prvkov vďaka vysokému obsahu organickej hmoty viazanej na dusík"", ""Bez spálenia listov vďaka veľmi nízkemu obsahu amoniaku"", ""Obsahuje dôležité živiny a približne 60% organickej hmoty"", ""Dobre rozpustné a bezprašné granule s vynikajúcim rozptylovým vzorom"", ""Použiteľné v každom ročnom období, okrem mrazivých podmienok"", ""Ideálne univerzálne hnojivo na rastliny a aktivátor pôdy""]"
